AFF_LOVE_POINT	הÞ״ֹ ָֽ :%d%%
ALIGNMENT_NAME	ÊױהםÝ
ATTACK_ERROR_UNKNOWN	־״ֳ וּזדם Ûםׁ דÚׁזÝ:  %s
CANNOT_ATTACK_DEST_IN_SAFE	ַב־ױד ָÚםֿ ַּֿנ
CANNOT_ATTACK_SELF_IN_SAFE	בַ ַ׃Ê״םÚ דוַּדֹ ַב־ױד דה והַ
CANNOT_EQUIP_IN_EXCHANGE	בַ Ê׃Ê״םÚ Êָֿםב ַבֿׁÚ Úהֿדַ ÊÞזד ַָבÊַֹּׁ
CANNOT_EQUIP_IN_SHOP	בַ Ê׃Ê״םÚ Êָֿםב ַבֿׁÚ Úהֿדַ ÊÞזד ַָבÊַֹּׁ
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	בַ Ê׃״םÚ ÝÊֽ דÊּׁ ־ַױ Ýם דßַה Úַד
CANNOT_SHOOT_DEST_IN_SAFE	ַב־ױד ָÚםֿ ַּֿנ
CANNOT_SHOOT_EMPTY_ARROW	ַֽÊַּ ֵבל ׃וד
CANNOT_SHOOT_SELF_IN_SAFE	בַ ֳ׃״םÚ דוַּדֹ ַב־ױד דה והַ
CANNOT_SKILL_APPROACH	ַההם ֳßםֿ ¡ַההם בַ ַ׃Ê״םÚ ַבÊÞֿד
CANNOT_SKILL_ATTACK	בַ ַ׃Ê״םÚ דוַּדÊו
CANNOT_SKILL_DEST_IN_SAFE	ַב־ױד ָÚםֿ ַּֿנ
CANNOT_SKILL_EQUIP_FISHING_ROD	ַֽÊַּ ױהַֹׁ ױםֿ
CANNOT_SKILL_HAVE_TO_RIDE	ַֽÊַּ ֽױַה בֵ׃ÊÚדַבו
CANNOT_SKILL_NEED_EMPTY_BOTTLE	בַ ֳדבß Þַׁזֹׁ ÝַׁÛֹ
CANNOT_SKILL_NEED_POISON_BOTTLE	בַ ֳדבß Þַׁזֹׁ ׃ד
CANNOT_SKILL_NEED_TARGET	דה ַבוֿÝ
CANNOT_SKILL_NOT_ENOUGH_HP	בַ ֳדבß הÞַ״ ֽםַֹ ßַÝםֹ
CANNOT_SKILL_NOT_ENOUGH_SP	בַ ֳדבß הÞַ״ ֳ׃בזָ ßַÝםֹ
CANNOT_SKILL_NOT_HORSE_SKILL	בַ ֳ׃Ê״םÚ ַ׃ÊÚדַבו¡ ־בַב ׁßזָם ַב־םב
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	בַ ַ׃Ê״םÚ ֵ׃ÊÚדַב ו׀ו ַבדוַֹׁ Ýם ו׀ַ ַב׃בַֽ
CANNOT_SKILL_NOT_YET_LEARN	בד ֳÊÚבד ו׀ו ַבדוַֹׁ
CANNOT_SKILL_ONLY_FOR_ALLIANCE	ו׀ַ םִֻׁ ÝÞ״ Úבל ֳÚײֱַ ַבÝׁםÞ
CANNOT_SKILL_ONLY_FOR_CORPSE	ו׀ַ םִֻׁ ÝÞ״ Úבל ַבדזÊל
CANNOT_SKILL_REMOVE_FISHING_ROD	ו׀ו ַבדוַֹׁ בַ םדßה ֵ׃ÊÚדַבםוַ Úבל ױהַֹׁ ױםֿ
CANNOT_SKILL_SELF_IN_SAFE	בַ ַ׃Ê״םÚ ַבדוַּדֹ דה והַ
CANNOT_SKILL_USE_SELF	בַ ֳ׃Ê״םÚ ֵ׃ÊÚדַבו Úבל הÝ׃ם
CANNOT_SKILL_WAIT_COOLTIME	ו׀ו ַבדוַֹׁ בַ ַ׃Ê״םÚ ַ׃ÊÚדַבוַ ָÚֿ
CANNOT_WHISPER_DEST_REFUSE	%s ֳÛבÞ ַבזװזװֹ ַָבßַדב	SA
CANNOT_WHISPER_NOT_LOGON	%s בם׃ Úבל ַב־״	SA
CANNOT_WHISPER_SELF_REFUSE	בַ Ê׃Ê״םÚ זװזװֹ ֳֽֿ¡ Úהֿדַ ÊÛבÞ ַבזװזװֹ ַָבßַדב	SNA
CHANNEL	Þהַֹ
CHANNELING_CANNOT_LOGOUT	בַ Ê׃Ê״םÚ ַבÚזֹֿ בÞֶַדֹ ַבÊ׃ּםב
CHANNEL_EMPTY_SERVER	בַ םזּֿ ׃ׁÝׁ
CHANNEL_NORMAL	Þהַֹ  ֿ
CHANNEL_NOTIFY_FULL	ו׀ו ַבÞהַֹ דדÊבֶֹ.ֵ־Êׁ Þהַֹ ֳ־ׁל	
CHANNEL_NOT_FIND_INFO	בַ ÊÊבÞל דÚבזדַÊ ַבÞהַֹ
CHANNEL_PVP	דַָֹׁׂ ֹֽׁ
CHANNEL_SELECT_CHANNEL	ֵ־Êׁ ַבÞהַֹ
CHANNEL_SELECT_REGION	ֵ־Êׁ ַבדßַה בזײÚ ַבÝַÊזֹׁ
CHANNEL_SELECT_SERVER	ַ־Êםַׁ ַב־ַֿד
CHANNEL_TEST_SERVER	Êּׁםָ ַב־ַֿד
CHANNEL_TEST_SERVER_ADDR	Ýֽױ%s:%d
CHAT_ALL	ַבּדםÚ
CHAT_BLOCK	ױֿ
CHAT_GUILD	ַָׁ״ֹ
CHAT_INFORMATION	דÚבזדַÊ
CHAT_INSULT_STRING	ַבּדבֹ ÊֽÊזם Úבל ßבדַÊ Ûםׁ בֶַÞֹ
CHAT_LOG	ֵÙוַׁ ַבׁ׃ֶַב ַבÞֿםדֹ [ב]
CHAT_LOG_TITLE	ֵÙוַׁ ַבָׁזÊזßזב
CHAT_NORMAL	Úַֿם
CHAT_NOTICE	ֵÚתבַףה
CHAT_PARTY	דּדזÚֹ
CHAT_SEND_CHAT	ֵׁ׃ַב ַבֿֿׁװֹ
CHAT_SEND_MEMO	ֵׁ׃ַב וד׃ [Shift+Enter]
CHAT_SHOUT	הֱַֿ
CHAT_SHOUT_LIMIT	Ê׃Ê״םÚ ַבהֱַֿ ÝÞ״ ßב 15 ַֻהםֹ
CHAT_WHISPER	וד׃
CREATE_ERROR_GM_NAME	בַ Ê׃Ê״םÚ ֵ׃Ê־ֿד ֵ׃ד ׃םֿ ַבבÚָֹ Ýם ַ׃דß
CREATE_ERROR_INSULT_NAME	ַבֵ׃ד Ûםׁ ױַבֽ	
CREATE_EXIST_SAME_NAME	װ־ױםֹ ֳ־ׁל Êֽדב ו׀ַ ַבֵ׃ד	
CREATE_FAILURE	בַ Ê׃Ê״םÚ ֵהװֱַ ו׀ו ַבװ־ױםֹ
CREATE_GM_NAME	׃םֿ ַבבÚָֹ
CREATE_INPUT_NAME	ײÚ ַ׃דß
CREATE_PLUS_STAT	םזּֿ הÞַ״ דÊזÝֹׁ
DAY	םזד
DO_YOU_BUY_ITEM1	וב Êׁםֿ װֱַׁ %s דÞַָב %s
DO_YOU_BUY_ITEM2	וב Êׁםֿ װֱַׁ %s %s דÞַָב %s
DO_YOU_DROP_MONEY	וב Êׁםֿ ֵ׃Þַ״ %d םַהÛ
DO_YOU_SELL_ITEM1	וב Êׁםֿ װֱַׁ %s דÞַָב %s
DO_YOU_SELL_ITEM2	וב Êׁםֿ װֱַׁ %s % s דÞַָב %s
DROP_ITEM_FAILURE_EQUIP_ITEM	בַ Ê׃Ê״םÚ ֵ׃Þַ״ ּ׃ד דֿׁÚ
DROP_ITEM_FAILURE_PRIVATE_SHOP	בַ Ê׃Ê״םÚ ַה Ê׃Þ״  ּ׃ד דֿׁÚ,ֵ׀ַ ַÝÊÊֽÊ דÊּׁ ־ַױ
DROP_MONEY_FAILURE_1000_OVER	םדßהß ֵ׃Þַ״ 999 םַהÛ ÝÞ״.
EMOTION_ANGRY	דÛײָ
EMOTION_ATTRACTIVE	ֵÛֱַׁ
EMOTION_BANTER	וֶַׂ
EMOTION_CHEERS_1	Êובםב 1 	
EMOTION_CHEERS_2	Êובםב 2
EMOTION_CHEERUP	Êובםב
EMOTION_CHOOSE_ONE	ֵ־Êׁ וֿÝ
EMOTION_CLAP	ÊױÝםÞ
EMOTION_CLAP_KISS	Þָבֹ
EMOTION_CONGRATULATION	ַבÞָזב
EMOTION_DANCE_1	ַבׁÞױֹ 1
EMOTION_DANCE_2	ַבׁÞױֹ 2
EMOTION_DANCE_3	ַבׁÞױֹ 3
EMOTION_DANCE_4	ַבׁÞױֹ 
EMOTION_DANCE_5	ַבׁÞױֹ 
EMOTION_FORGIVE	ַב׃דַֽ
EMOTION_FRENCH_KISS	Þָבֹ ַֹֽׁ
EMOTION_JOY	Ýֽׁ
EMOTION_SAD	ֽׂםה
EMOTION_SHY	ַבׁÝײ
EMOTION_SLAP	ײָֹׁ
EMPIRE_A	ַדַָׁ״זׁםֹ ַבװםה׃ז
EMPIRE_B	ַדַָׁ״זׁםֹ ַבװהּז
EMPIRE_C	ַדַָׁ״זׁםֹ ַבּםהז
EXCHANGE_CANNOT_GIVE	בַ םדßה ַבדÊַֹּׁ ָו׀ַ ַבװםֱ
EXCHANGE_CANT_EDIT_MONEY	בַ Ê׃״םÚ  ÊÛםׁ ַבדָבÛ ַבֳה
EXCHANGE_FAILURE_EQUIP_ITEM	בַ Ê׃Ê״םÚ ַ׃Êַָֿב ַבדÚַֿÊ ַבדֹּּֿ.
EXCHANGE_MONEY	דָבÛ
EXCHANGE_TITLE	Êַּׁ דÚ %s
FISHING_FAILURE	בÞֿ ֳײÚÊ ַב״Úד
FISHING_NOTIFY1	ַבÙַוׁ ֳה %s  ֳױַָו ֱַֿ ַבßבָ
FISHING_NOTIFY2	םÙוׁ ֳה %s  Þֿ ׃ּה
FISHING_SUCCESS1	בÞֿ ֳ׃ׁÊ %s
FISHING_SUCCESS2	בֿםß %s!
FISHING_UNKNOWN	בַ ֳÚׁÝ דַ׀ַ ֳ׃ׁÊ
FISHING_WRONG_PLACE	בַ ֳ׃Ê״םÚ ַבױםֿ והַ
FOR_FEMALE	בבֵהַֻ
FOR_MALE	בב׀ßזׁ
GAME_CANNOT_MINING	בַ Ê׃Ê״םÚ ֽÝׁ דÚֿה ־ַד ֳֻהֱַ ׁßזָ ַב־םב
GAME_CANNOT_PICK_ITEM	בַ Ê׃Ê״םÚ ַבֽױזב Úבל ו׀ַ ַבװםֱ בֳהß בד Êָֽׁו
GAME_INIT_ERROR_CURSOR	בַ םדßה ׁ׃ד דִװׁ ַבדַז׃
GAME_INIT_ERROR_DIRECTX	םָּ Êֽדםב DirectX 8.1בבÚָ ו׀ו ַבבÚָֹ ֽדרב DirectX 8.1 ֳז ֳÚבל
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	ּוַׂ ׁ׃ד ַבַּׁÝםß Ûםׁ דזּזֿ.ÊֽÞÞ דה Ê׃ּםב ַב- VGA CARD
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	בַ םדßה ֵםַּֿ ָ״ַÞֹ ַבַּׁÝםß. \nÊֽÞÞ ֵ׀ַ בֿםß VGA-Card. \nָֿבַ דה ׀בß Ê׃Ê״םÚ ֵ׃ÊÚדַב ד׃ׁÚ ַבֳּוֹׂ. \n(ײÚ ד׃ׁÚ ַבֳּוֹׂ Ýם ׃ׁÚÊוַ ַבÞױזל \nבזֹֽ ַבÊֽßד -> Úׁײ> ַב־םַַׁÊ > דÊ״זׁ> ָ״ַÞֹ ַבÊ׃ּםב ַ׃ÊßװַÝ ַבֳ־״ֱַ זֵױבַֽו)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	ָ״ַÞֹ ַבׁ׃זדַÊ בבßדָםזÊׁ בַ םֿÚד הÙַד ַבהַÝ׀ֹ Ýם דזֿ 32 bit.ֵ־Êׁ דזֿ 16 bit ֳז ֵ׃ÊÚדב הÙַד ַבװַװֹ ַבßַדבֹ
GAME_INIT_ERROR_ITEM_PROTO	בַ םזּֿ װםֱ ֳÚֿ Ê׃ּםב ַבבÚָֹ
GAME_INIT_ERROR_MAIN_WINDOW	בַ םדßה ֵÙוַׁ ַבהַÝ׀ֹ ַבֶׁם׃םֹ
GAME_INIT_ERROR_MOB_PROTO	בַ םזּֿ דÚבזדַÊ Úה ַבזֽװ.ֳÚֿ Êֽדםב ַבבÚָֹ דה ּֿםֿ
GAME_INIT_ERROR_NETWORK	בַ םדßה Ê׃ּםב ַבהÊזׁß. ÊֽÞÞ דה ַבֵהÊׁהÊ
GAME_PICK_MONEY	בÞֿ ֽױבÊ Úבל %d םַהÛ
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	ַבÚבז בם׃ 128 ָß׃ב
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	ַבÚבז בם׃ 12 ָםß׃ב
GUILDMARK_UPLOADER_ERROR_16_WIDTH	ַבÚׁײ  בם׃ 16 ָםß׃ב
GUILDMARK_UPLOADER_ERROR_64_WIDTH	ַבÚׁײ  בם׃  ָםß׃ב
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	ו׀ו ַבבÚָֹ בַ ÊֿÚד ו׀ו ַבױזׁו
GUILDMARK_UPLOADER_ERROR_PATH	ֵהÞב ַבדÚ״םַÊ ַבל דבÝ metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	בד םÊד ֵ־Êםַׁ דבÝ ַבױזֹׁ
GUILDWAR_CTF_TITLE	Êד ַב׃ם״ֹׁ Úבל ַבÚבד
GUILDWAR_NORMAL_TITLE	דÚׁßֹ Ýם ַבֽÞב
GUILDWAR_QUESTION_LINE_1	ַבַָׁ״ֹ %s ֳÚבהÊ ַבָֽׁ Úבל ַָׁ״Êß.
GUILDWAR_QUESTION_LINE_2	וב ÊÞָב¿(%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	ד׃ֽׁ ָֽׁ ַבַָׁ״ֹ
GUILD_BUILDING_GRADE	ÊױהםÝ
GUILD_BUILDING_NAME	ֵ׃ד ַבדָהל
GUILD_CANNOT_HEAL_GSP_ANYMORE	דÚׁßֹ װָֽ ַבÊהםה דדÊבֶֹ.
GUILD_COMMENT	ßÊַָֹ
GUILD_CREATE_ERROR_INSULT_NAME	ַ׃ד ַבַָׁ״ֹ Ûםׁ ד׃דזֽ ָו
GUILD_DEFAULT_GRADE	ֳÚײֱַ ַבÛבֿה
GUILD_DELETE	ֵדֽם
GUILD_DEPOSIT	זײÚ	
GUILD_DO_YOU_HEAL_GSP	וב Êׁםֿ בÞֱַ %d  םַהÛ ֵÚַֹֿ %d װָֽ ַבÊהםה
GUILD_DO_YOU_JOIN	¡ והַß ַָׁ״ֹ Ê׃ֳב ֵ׀ַ ßהÊ Êׁםֿ ַבֵהײדַד ֵבםוַ¿
GUILD_EMPTY_AREA	ֳׁײ ־ַבםֹ
GUILD_ENEMY_GUILD_NAME	ֵ׃ד Ûבֿה ַב־ױד
GUILD_FACILITY	דָהל דַֽ׀ם
GUILD_GEM	ּֽׁ ßׁםד
GUILD_HEADQUARTER	דָהל ֶׁם׃ם
GUILD_HEAL_GSP	ֵÚַֹֿ װָֽ ַבÊהםה	
GUILD_INFO_ENEMY_GUILD_EMPTY	בַ םזּֿ
GUILD_MARK_NOT_ENOUGH_LEVEL	ֳֿהל ד׃Êזל ד״בזָ 4
GUILD_NAME	ֵ׃ד ַבÛבֿה
GUILD_NOT_ENOUGH_MATERIAL	בַ Êדבß דזַֿ ָהֱַ ßַÝםֹ בו׀ַ ַבדָהל
GUILD_NOT_ENOUGH_MONEY	בַ Êדבß םַהÛ ßַÝם בו׀ַ ַבדָהל
GUILD_NO_NOTICE_PERMISSION	בַ םֽÞ בß ֳה ÊÚבה ֳדַׁ.
GUILD_OBJECT	ֳװםֱַ
GUILD_OFFER_EXP	־ָֹׁ בבֵßÊ׃ַָ
GUILD_SHORT_EXP	־ָֹׁ Ûםׁ ßַÝםֹ
GUILD_TILE_BASEINFO	דÚבזדַÊ ֳ׃ַ׃םֹ
GUILD_TILE_BOARD	בזֽ
GUILD_TILE_GRADE	ֽÞזÞ ֵַֿׁםֹ
GUILD_TILE_INFO	דÚבזדַÊ Ûבֿה
GUILD_TILE_MEMBER	ֳÚײֱַ Ûבֿה
GUILD_TILE_SKILL	דוַֹׁ Ûבֿה
GUILD_WAR_LIMIT_30MIN	ַבזÞÊ: 30 ֿÞםÞֹ
GUILD_WAR_REWARD_POTION	דßַÝֳֹ : ַבÝֶַׂ ׃םֽױב Úבל ּׁÚ
GUILD_WAR_USE_BATTLE_MAP	ֵ׃ÊÚדַב ד׃ֽׁ ָֽׁ ַבÛבֿה
GUILD_WAR_USE_NORMAL_MAP	ֵ׃ÊÚדב ־ׁם״ֹ Úַֿםֹ
GUILD_WAR_WIN_CHECK_SCORE	ַבהÊםֹּ ַבֳÚבל Êָֽׁ ַבָֽׁ
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	ַ׃Êזבם Úבל Úבד ַב־ױד
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ז ֳײֽׁוַ ֵבל דÞׁß
GUILD_WAR_WIN_WIPE_OUT_GUILD	ַÞײם Úבל ־ױדß בבÝזׂ
GUILD_WITHDRAW	ֵה׃ַָֽ
GUILD_YOU_DO_NOT_JOIN	ב׃Ê Úײז ֳָם Ûבֿה
HORSE_HEALTH0	דםÊ
HORSE_HEALTH1	ֶַּÚ
HORSE_HEALTH2	םדזÊ ּזÚַנ
HORSE_HEALTH3	דבםֱ
HORSE_LEVEL1	ֽױַה Úַֿם
HORSE_LEVEL2	ֽױַה דֿׁÚ
HORSE_LEVEL3	ֽױַה ּםװם
HOUR	׃ַÚַÊ
HOW_MANY_ITEM_DO_YOU_DROP1	וב Êׁםֿ ֵ׃Þַ״  %s
HOW_MANY_ITEM_DO_YOU_DROP2	וב Êׁםֿ ֵ׃Þַ״  %s % d
INPUT_MATRIX_CARD_NUMBER	ֳֿ־ב ׁÞד ָ״ַÞֹ ַבדַÊׁםß׃
INPUT_MATRIX_CARD_TITLE	ָ״ַÞֹ ַבדַÊׁםß׃
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	ֳֿ־ב װÝֹׁ ַבֽ׀Ý דה ־םַׁ ֵַֹֿׁ ַבֽ׃ַָ.
INPUT_PRIVATE_CODE_DIALOG_TITLE	ֽ׀Ý װ־ױםֹ
INVENTORY_DO_NOT_PACK_WARP_SCROLL	בַ Ê׃Ê״םÚ Þֱַֹׁ ַבÝַׁדה
INVENTORY_REALLY_USE_ITEM	וב Êׁםֿ ֵ׃ÊÚדַב ו׀ַ ַבװםֱ¿	
JOB_ASSASSIN	הםהַּ
JOB_ASSASSIN0	הםהַּ דָÊֶֿ
JOB_ASSASSIN1	Þזֹ ַבהםהַּ
JOB_ASSASSIN2	Ûםׁ דםÊ
JOB_SHAMAN	דװÚז׀
JOB_SHAMAN0	דװÚז׀ דָÊֶֿ
JOB_SHAMAN1	Þזֹ ַבÊהםה
JOB_SHAMAN2	Þזֹ ַבָׁÞ
JOB_SURA	׃ץזׁףֹ
JOB_SURA0	׃ץזׁףֹ דָÊֶֹֿ
JOB_SURA1	Þזֹ ÝַÊל דזׁÛַהַ
JOB_SURA2	Þזֹ ַב׃ֽׁ ַבֳ׃זֿ
JOB_WARRIOR	דַָֽׁ
JOB_WARRIOR0	דַָֽׁ דָÊֶֿ
JOB_WARRIOR1	Þזֹ ֳׁוַה
JOB_WARRIOR2	Þזֹ דÞַזד
LEFT_TIME	ַבזÞÊ ַבדÊָÞם	
LOGIN_CONNECT_FAILURE	ֽױב ־״ֳ Úהֿ ַבַÊױַב ַָב־ַֿד.
LOGIN_CONNECT_SUCCESS	םּׁם ֵםױַבß ַָב־ַֿד.
LOGIN_CONNETING	םּׁם ֵםױַבß ַָב־ַֿד.
LOGIN_FAILURE_ALREAY	ֽ׃ַָß Ýַב־ֿדֹ
LOGIN_FAILURE_BE_SAME_KEY	דװßבֹ Ê׃ּםב
LOGIN_FAILURE_BLOCK_ID	ו׀ַ ַבֽ׃ַָ דÞÝב
LOGIN_FAILURE_BLOCK_LOGIN	ַבֱַּׁ ַ־Êםַׁ ׃ׁÝׁ ֳ־ׁ
LOGIN_FAILURE_NOBILL	בד ם׃ּב Ýם ַבֽ׃ַָ זÞÊ בÚָ ָÚֿ.
LOGIN_FAILURE_NOT_AVAIL	בַ םזּֿ ֽ׃ַָ ָו׀ַ ַבֵ׃ד.
LOGIN_FAILURE_NOT_EXIST_ID	בַ םזּֿ ֽ׃ַָ ָו׀ַ ַבַ׃ד ֳז ָßבדֹ ַב׃ׁ ו׀ו
LOGIN_FAILURE_REPAIR_ID	׃םÊד ֵַּׁÚ ַבדÚַֿÊ בו׀ַ ַבֽ׃ַָ.
LOGIN_FAILURE_SHUTDOWN	ַב־ַֿד Ûםׁ דÊזÝׁ.
LOGIN_FAILURE_TOO_MANY_USER	ָ׃ָָ ßֹֻׁ ַבבַÚָםה בַ Ê׃Ê״םÚ ַבֵÊױַב
LOGIN_FAILURE_UNKNOWN	בֳ׃ַָָ דּוזבֹ בַ Ê׃Ê״םÚ ַבÊ׃ּםב
LOGIN_FAILURE_WEB_BLOCK	ֳהÊ דדהזÚ דה ֿ־ב ַבױÝֹֽ Êֳßֿ דה ָׁםֿß ַבֵבßÊׁזהם
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	בÞֿ ַֿ־בÊ ׁÞד ־ַ״ֶ
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	בÞֿ ַֿ־בÊ ׁÞדַנ ־ַ״ֶ ֻבַֻ דַׁÊ. ב׀בß Þ״Ú ַבֵÊױַב
LOGIN_FAILURE_WRONG_PASSWORD	ÊֽÞÞ דה דÚ״םַÊß
LOGIN_INPUT_ID	ַÚ״ ָםַהַÊ ַבÊ׃ּםב
LOGIN_INPUT_PASSWORD	ֵֿ־ב ßבדֹ ַב׃רׁ
LOGIN_PROCESSING	ַּׁם ַבÊ׃ּםב
MALL_CANNOT_INSERT	בַ םדßהß זײÚ ַבװםֱ
MALL_PASSWORD_TITLE	ßבדֹ ַב׃רׁ
MAP_A1	ֵÞבםד םזהÛַה
