ACCEPT	דזַÝÞ
ATTACH_METIN_INFO	ÊÚבםÞ¿
ATTACH_METIN_TITLE	Êד ÊÚבםÞ ּֽׁ ַבדַÊםה
CANCEL	ֵבÛֱַ
CHANGE_PASSWORD_CONFIRM	ֳßֿ ßבדֹ ַב׃ׁ ַבּֿםֹֿ
CHANGE_PASSWORD_NEW	ßבדֹ ׃ׁ ּֿםֹֿ
CHANGE_PASSWORD_OLD	ßבדֹ ׃ׁ Þֿםדֹ
CHANGE_PASSWORD_TITLE	ÊÛםםׁ ßבדֹ ַב׃ׁ
CHARACTER_ACTION	הװַ״ַÊ
CHARACTER_EMOTICON	Úַ״Ýֹ
CHARACTER_MAIN	ַבװ־ױםֹ
CHARACTER_MUTUAL_ACTION	הװַ״ דÊַָֿב
CHARACTER_NORMAL_ACTION	הװַ״ Úַֿם
CHARACTER_QUEST	ַבדודַÊ
CHARACTER_SKILL	דוַַׁÊ
CLOSE	ֵÛבַÞ
CREATE_ATT_GRADE	ַבÞזֹ
CREATE_CREATE	ֵהװֱַ
CREATE_DEX_GRADE	ַבÊֽדב
CREATE_HP	ַבֽםזםֹ
CREATE_LAST_POINT	הÞַ״
CREATE_MAN	ּׁב
CREATE_NAME	ַבֵ׃ד
CREATE_NEXT	ַבÊַבם
CREATE_PREV	ַב׃ַָÞ
CREATE_SEX	ַבּה׃
CREATE_SHAPE	ַבװßב
CREATE_SP	ַב׀ßֱַ
CREATE_STAT_RESET	ֵÚַֹֿ ַבÊהײםֿ
CREATE_WOMAN	ֵדֳֹׁ
CUBE_TITLE	ױהֿזÞ ֳÚװַָ
EMPIRE_EXIT	ֵהוֱַ
EMPIRE_NEXT	ַבÊַבם
EMPIRE_PREV	ַב׃ַָÞ
EMPIRE_SELECT	ֵ־Êםַׁ
EXCHANGE_ACCEPT	דזַÝÞֹ
EXCHANGE_TITLE	Êַֹּׁ
GAMEOPTION_TITLE	־םַַׁÊ ַבבÚָֹ
GAME_EXIT_OBSERVER	ֵהוֱַ ֳ׃בזָ ַבדװַוֿ
GAME_HELP	ד׃ַÚֹֿ
GAME_QUEST	ַבדודַÊ
GAME_SKILL_UP	ׂםַֹֿ ַבדוַֹׁ
GAME_STAT_UP	ׁÝÚ ַבד׃Êזל
GUILD_BASENAME	ֵ׃ד ַבÞַÚֹֿ
GUILD_BOARD_ID	ַבֵ׃ד
GUILD_BOARD_REFRESH	Êּֿםֿ (F5)
GUILD_BOARD_TEXT	ַבדֽÊזל
GUILD_BUILDING_CATEGORY_TITLE	זַֽֿÊ ָהֱַ
GUILD_BUILDING_CHANGE	Êָֿםב
GUILD_BUILDING_DIRECTION	ַבֵÊַּו
GUILD_BUILDING_GRADE	ÊױהםÝ
GUILD_BUILDING_INFO	דÚבזדַÊ Úה ַבדָהל זַב׃Úׁ
GUILD_BUILDING_LIST_TITLE	בֶַֹֽ ַבדַָהם
GUILD_BUILDING_LOG	ּ׀Ú
GUILD_BUILDING_NAME	ֵ׃ד ַבדָהל
GUILD_BUILDING_OPERATE	ÊװÛםב
GUILD_BUILDING_PLY	־װָ ַבדÚַß׃
GUILD_BUILDING_POSITION	דזÞÚ
