AFF_LOVE_POINT	Pontos de Amor: %d%%
ALIGNMENT_NAME	Pontos de Honra:	
ATTACK_ERROR_UNKNOWN	Erro de ataque desconhecido: %s	
CANNOT_ATTACK_DEST_IN_SAFE	Impossível atacar naquele local
CANNOT_ATTACK_SELF_IN_SAFE	Impossível atacar desse local
CANNOT_EQUIP_IN_EXCHANGE	Não é permitido trocar equipamentos durante uma negociação.
CANNOT_EQUIP_IN_SHOP	Não é permitido trocar equipamentos durante uma negociação.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Não é permitido abrir uma Loja Particular nesse local.
CANNOT_SHOOT_DEST_IN_SAFE	Impossível atacar naquele local
CANNOT_SHOOT_EMPTY_ARROW	Você está sem flechas
CANNOT_SHOOT_SELF_IN_SAFE	Impossível atacar desse local
CANNOT_SKILL_APPROACH	Impossível se aproximar
CANNOT_SKILL_ATTACK	Alvo incorreto
CANNOT_SKILL_DEST_IN_SAFE	Impossível atacar naquele local
CANNOT_SKILL_EQUIP_FISHING_ROD	É necessário equipar uma Vara de Pescar
CANNOT_SKILL_HAVE_TO_RIDE	É necessário estar montado em um cavalo	
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Você não possui uma Garrafa Vazia.	
CANNOT_SKILL_NEED_POISON_BOTTLE	Você não possui uma Garrafa de Veneno.	
CANNOT_SKILL_NEED_TARGET	Selecione o alvo
CANNOT_SKILL_NOT_ENOUGH_HP	Não há HP suficiente!	
CANNOT_SKILL_NOT_ENOUGH_SP	Não há MP suficiente!	
CANNOT_SKILL_NOT_HORSE_SKILL	Impossível enquanto estiver montado	
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Impossível usar essa Skill com a arma atual	
CANNOT_SKILL_NOT_YET_LEARN	Não possui essa Skill	
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Somente em alvos aliados	
CANNOT_SKILL_ONLY_FOR_CORPSE	Somente em personagens mortos	
CANNOT_SKILL_REMOVE_FISHING_ROD	Impossível usar Skills com uma Vara de Pescar
CANNOT_SKILL_SELF_IN_SAFE	Impossível atacar desse local	
CANNOT_SKILL_USE_SELF	Impossível usar em você mesmo
CANNOT_SKILL_WAIT_COOLTIME	Aguarde o cooldown
CANNOT_WHISPER_DEST_REFUSE	%s bloqueou todas as Mensagens Particulares.	SA
CANNOT_WHISPER_NOT_LOGON	%s não está online.	SA
CANNOT_WHISPER_SELF_REFUSE	Impossível enviar Mensagens Particulares se a função estiver bloqueada.	SNA
CHANNEL	Canal	
CHANNELING_CANNOT_LOGOUT	Não é possível efetuar Logout.	
CHANNEL_EMPTY_SERVER	Sem servidor.	
CHANNEL_NORMAL	Canal %d      	
CHANNEL_NOT_FIND_INFO	Não é possível encontrar as informações do canal.	
CHANNEL_PVP	PvP	
CHANNEL_SELECT_CHANNEL	Selecione o canal.	
CHANNEL_SELECT_REGION	Selecione o local de cobrança.	
CHANNEL_SELECT_SERVER	Selecione o servidor.	
CHANNEL_TEST_SERVER	Servidor de teste.	
CHANNEL_TEST_SERVER_ADDR	Teste %s:%d	
CHAT_ALL	Todos	
CHAT_BLOCK	Bloqueio	
CHAT_GUILD	Guilda	
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	A frase contém palavras inapropriadas.	
CHAT_LOG	Histórico de mensagens [<L>]	
CHAT_LOG_TITLE	Histórico de mensagens	
CHAT_NORMAL	Normal	
CHAT_NOTICE	Sistema	
CHAT_PARTY	Grupo	
CHAT_SEND_CHAT	Enviar	
CHAT_SEND_MEMO	Mensagem Particular [<Shift>+<Enter>]	
CHAT_SHOUT	Gritos	
CHAT_SHOUT_LIMIT	É possível gritar somente uma vez a cada 15 segundos.	
CHAT_WHISPER	Mensagem Particular
CREATE_ERROR_GM_NAME	Não é permitido o termo 'GM' no nome dos personagens.	
CREATE_ERROR_INSULT_NAME	Esse nome é considerado inapropriado.	
CREATE_EXIST_SAME_NAME	Nome de personagem já está em uso.
CREATE_FAILURE	Não é permitido o uso de caracteres especiais.
CREATE_GM_NAME	GM	
CREATE_INPUT_NAME	Digite o nome do personagem.	
CREATE_PLUS_STAT	Pontos Extras	
DAY	d
DO_YOU_DROP_MONEY	Deseja realmente descartar %d Gold?	
DROP_ITEM_FAILURE_EQUIP_ITEM	Impossível descartar um item equipado.	
DROP_ITEM_FAILURE_PRIVATE_SHOP	Impossível descartar um item com a Loja Particular aberta.	
DROP_MONEY_FAILURE_1000_OVER	Impossível descartar mais de 1.000 Gold por vez.	
EMOTION_DANCE_1	Dançar1
EMOTION_DANCE_2	Dançar2	
EMOTION_DANCE_3	Dançar3	
EMOTION_DANCE_4	Dançar4	
