AFF_LOVE_POINT	Love Point : %d%%
ALIGNMENT_NAME	Hostile Killer Points :
ATTACK_ERROR_UNKNOWN	Unknown Attack Error : %s
CANNOT_ATTACK_DEST_IN_SAFE	The target is too far away
CANNOT_ATTACK_SELF_IN_SAFE	Can't attack the target from here
CANNOT_EQUIP_IN_EXCHANGE	Can not switch your equipment when you are trading
CANNOT_EQUIP_IN_SHOP	Can not switch your equipment when you are using shop
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Can not open a private shop in public place
CANNOT_SHOOT_DEST_IN_SAFE	The target is too far away
CANNOT_SHOOT_EMPTY_ARROW	Need more arrows to shoot
CANNOT_SHOOT_SELF_IN_SAFE	Can not attack the target from here
CANNOT_SKILL_APPROACH	Can not approach that spot
CANNOT_SKILL_ATTACK	Can not attack it
CANNOT_SKILL_DEST_IN_SAFE	The target is too far away
CANNOT_SKILL_EQUIP_FISHING_ROD	Need a Fishing Pole
CANNOT_SKILL_HAVE_TO_RIDE	Need to be mounted to use it
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Do not have a empty bottle
CANNOT_SKILL_NEED_POISON_BOTTLE	Do not have a poison bottle
CANNOT_SKILL_NEED_TARGET	Please choose a target
CANNOT_SKILL_NOT_ENOUGH_HP	Do not have enough HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Do not have enough MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Can not use that while riding a horse
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Can not use this skill with this weapon
CANNOT_SKILL_NOT_YET_LEARN	You can not use this skill yet
CANNOT_SKILL_ONLY_FOR_ALLIANCE	This can be only used on allies
CANNOT_SKILL_ONLY_FOR_CORPSE	This can be only used on dead players
CANNOT_SKILL_REMOVE_FISHING_ROD	Can not use this skill with Fishing Pole
CANNOT_SKILL_SELF_IN_SAFE	Can not attack from this location
CANNOT_SKILL_USE_SELF	Can not use this on myself
CANNOT_SKILL_WAIT_COOLTIME	Can not use this yet
CANNOT_WHISPER_DEST_REFUSE	%s has blocked all whispers	SA
CANNOT_WHISPER_NOT_LOGON	%s is offline	SA
CANNOT_WHISPER_SELF_REFUSE	You can't whisper someone while you are blocking all whispers	SNA
CHANNEL	Channel
CHANNELING_CANNOT_LOGOUT	Can not go to Login page
CHANNEL_EMPTY_SERVER	Server Down
CHANNEL_NORMAL	Channel %d
CHANNEL_NOT_FIND_INFO	Can not find channel Information
CHANNEL_PVP	PVP
CHANNEL_SELECT_CHANNEL	Please select the channel
CHANNEL_SELECT_REGION	Please select billing location
CHANNEL_SELECT_SERVER	Please select Server
CHANNEL_TEST_SERVER	Test Server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHAT_ALL	All
CHAT_BLOCK	Block
CHAT_GUILD	Guild
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	This sentence contains inappropriate words
CHAT_LOG	View chat history [L]
CHAT_LOG_TITLE	View chat history
CHAT_NORMAL	Normal
CHAT_NOTICE	Notice
CHAT_PARTY	Party
CHAT_SEND_CHAT	Send Chat
CHAT_SEND_MEMO	Send Whisper [Shift+Enter]
CHAT_SHOUT	Shout
CHAT_SHOUT_LIMIT	Can shout once every 15 seconds
CHAT_WHISPER	Whisper
CREATE_ERROR_GM_NAME	You can't use 'GM' in your character name
CREATE_ERROR_INSULT_NAME	This name is inappropriate
CREATE_EXIST_SAME_NAME	This name has been taken by another player
CREATE_FAILURE	Invalid characters used in name.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Please type characters name
CREATE_PLUS_STAT	Remaining status points
DAY	Day
DO_YOU_DROP_MONEY	Do you want to drop %d Gold?
DROP_ITEM_FAILURE_EQUIP_ITEM	Can not drop an equipped item
DROP_ITEM_FAILURE_PRIVATE_SHOP	Can not drop an equipped item when opening the private shop
DROP_MONEY_FAILURE_1000_OVER	Can not drop more than 1000 Gold
