ACCEPT	Bestätigen
ATTACH_METIN_INFO	Anhängen?
ATTACH_METIN_TITLE	Der Metinstein wurde angehängt.
CANCEL	Abbruch
CHANGE_PASSWORD_CONFIRM	Neues Passwort bestätigen
CHANGE_PASSWORD_NEW	Neues Passwort
CHANGE_PASSWORD_OLD	Altes Passwort
CHANGE_PASSWORD_TITLE	Passwortänderung
CHARACTER_ACTION	Aktionen
CHARACTER_EMOTICON	Emotion
CHARACTER_MAIN	Charakter
CHARACTER_MUTUAL_ACTION	Interaktive Aktionen
CHARACTER_NORMAL_ACTION	Normale Aktionen
CHARACTER_QUEST	Missionen
CHARACTER_SKILL	Fertigkeiten
CLOSE	Schließen
CREATE_ATT_GRADE	STR
CREATE_CREATE	Erstellen
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Punkte
CREATE_MAN	Mann
CREATE_NAME	Name
CREATE_NEXT	Weiter
CREATE_PREV	Zurück
CREATE_SEX	Geschlecht
CREATE_SHAPE	Aussehen
CREATE_SP	INT
CREATE_STAT_RESET	Zurück
CREATE_WOMAN	Frau
CUBE_TITLE	Kräuterkiste
EMPIRE_EXIT	Beenden
EMPIRE_NEXT	Weiter
EMPIRE_PREV	Zurück
EMPIRE_SELECT	Wählen
EXCHANGE_ACCEPT	Annehmen
EXCHANGE_TITLE	Handeln
GAMEOPTION_TITLE	Spieloptionen
GAME_EXIT_OBSERVER	Zuschauermodus beenden
GAME_HELP	Hilfe
GAME_QUEST	Aufgaben
GAME_SKILL_UP	Fertigkeit erhöhen
GAME_STAT_UP	Status erhöhen
GUILD_BASENAME	Basisname
GUILD_BOARD_ID	Name
GUILD_BOARD_REFRESH	Aktualisieren (F5)
GUILD_BOARD_TEXT	Inhalt
GUILD_BUILDING_CATEGORY_TITLE	Baueinheiten
GUILD_BUILDING_CHANGE	Wechseln
GUILD_BUILDING_DIRECTION	Richtung
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INFO	Gebäude- und Kosteninformationen
GUILD_BUILDING_LIST_TITLE	Gebäudeliste
GUILD_BUILDING_LOG	Stamm
GUILD_BUILDING_NAME	Gebäudename
GUILD_BUILDING_OPERATE	Bedienen
GUILD_BUILDING_PLY	Sperrholz
GUILD_BUILDING_POSITION	Lage
GUILD_BUILDING_PREVIEW	Vorschau
GUILD_BUILDING_PRICE	Preis
GUILD_BUILDING_REFRESH	Aktualisieren (F5)
GUILD_BUILDING_STONE	Fu.stein
GUILD_BUILDING_TITLE	Gildenhausbau
GUILD_CRYSTAL	Kristall
GUILD_DEPOSIT	Zahlen
GUILD_DROP_RESOURCE1	hier
GUILD_DROP_RESOURCE2	Ressource fallen lassen
GUILD_GEM	Edelstein
GUILD_GRADE_CHANGE_GRADE_NAME	Zu ändernder Positionsname
GUILD_GRADE_NUM	Rang
GUILD_GRADE_PERMISSION_DELETE	Entlassen
GUILD_GRADE_PERMISSION_JOIN	Aufnehmen
GUILD_GRADE_PERMISSION_NOTICE	Notiz
GUILD_GRADE_PERMISSION_SKILL	Handwerker
GUILD_GRADE_RANK	Position
GUILD_GRADE_WRITE	Schreiben
GUILD_INFO	Gildeninformationen
GUILD_INFO_CUR_EXP	Erfahrung
GUILD_INFO_DECALRE_WAR	Krieg erklären
GUILD_INFO_ENEMY_GUILD	Feindliche Gilde
GUILD_INFO_ENEMY_GUILD_EMPTY	Keine
GUILD_INFO_LEVEL	Gilden-Level
GUILD_INFO_MARK	Gildenzeichen
GUILD_INFO_MASTER	Leader
GUILD_INFO_MASTER_VALUE	Leader
GUILD_INFO_MEMBER_AVG_LEVEL	Durchschnittliches Level
GUILD_INFO_MEMBER_NUM	Anzahl Mitglieder
GUILD_INFO_NAME	Gildenname
GUILD_INFO_NAME_VALUE	Dies ist ein Gildenname
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Nötige Erfahrung
GUILD_INFO_UPLOAD_MARK	Zeichen hochladen
GUILD_INFO_UPLOAD_SYMBOL	Flagge hochladen
GUILD_MARK	Gildenzeichen
GUILD_MEMBER_JOB	Rasse
GUILD_MEMBER_KNIGHT	Leader
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Name
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	Geiststein
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Gilde
GUILD_RESOURCE_INFO	Ressourceninformationen
GUILD_SKILL_ACTIVE	Aktiv
GUILD_SKIlL_HEAL_GSP	Aufladen
GUILD_SKILL_PASSIVE	Passiv
GUILD_SKILL_POWER	Energie
GUILD_SKILL_STATE	Fertigkeit der Gilde
GUILD_SYMBOL	Gildenflagge
GUILD_WAR_ACCEPT	Gildenkriegserklärung annehmen
GUILD_WAR_BATTLE_TYPE	Kampfart
GUILD_WAR_CTF	Flagge
GUILD_WAR_DECLARE	Gildenkrieg erklären
GUILD_WAR_ENEMY	Gegner
GUILD_WAR_NORMAL	Feld
GUILD_WAR_WARP	Arena
GUILD_WATER	Wasser
GUILD_WATER_STONE	Wasserstein
GUILD_WITHDRAW	Nehmen
HELP_ATTACK_KEY	- Verwende zum Angreifen die Leertaste oder die linke Maustaste
HELP_CHANGE_PK_MODE	- Verwende zum Wechseln des Angriff-Modus die Tasten Strg + B
HELP_CHARACTER_BUTTON1	(Öffnen: Charakterfenster, Inventar-
HELP_CHARACTER_BUTTON2	fenster und Chat-Fenster)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	- die Kamerasicht kann mit der mittleren Maustaste angepasst werden
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	- die Kamerasicht kann mit der Strg- und der rechten Maustaste angepasst werden
HELP_EXP	Erfahrung
HELP_FURY	Ingame Item Shop
HELP_GUILD_WINDOW	- Verwende die Tasten Alt + G, um das Gildenfenster zu öffnen und zu schließen
HELP_HELP	- Drücke die Taste H oder verwende eine Taste im Spielmenü, um die Hilfe anzuzeigen
HELP_HP	TP
HELP_MESSENGER_WINDOW	- Verwende die Tasten Alt + M, um das Nachrichtenfenster zu öffnen und zu schließen
HELP_MOUSE_LEFT	Funktion der linken Maustaste
HELP_MOUSE_RIGHT	Funktion der rechten Maustaste
HELP_MOVE_KEY	- Verwende die Tasten W, S, A, D und die Pfeiltasten, um deinen Charakter zu bewegen
HELP_OPEN_CHARACTER	- die Taste C öffnet das Charakterfenster
HELP_OPEN_CHAT	- die Eingabetaste öffnet das Chat-Fenster
HELP_OPEN_INVENTORY	- die Taste I öffnet das Inventarfenster
HELP_OPEN_LOG	- die Taste L öffnet das Chat-Log
HELP_OPEN_MINIMAP	- die Umschalttaste und die Taste M öffnen und schließen die Minikarte
HELP_OPEN_QUEST	- Drücke die Taste N, um das Auftragsfenster zu öffnen
HELP_OPEN_SKILL	- Drücke die Taste V, um das Fertigkeitenfenster zu öffnen
