VNUM	TYPE	MODEL	HK NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	????
//14003	FACILITY	gongjakso	¤u§@«Ç	-527.93	-411.1	527.93	411.1	0	0	360	20000000	"90010,15/90011,25/90012,30"	0	0	0	0
14013	FACILITY	jedan	ªZ¾¹ª««~´£·Ò«Ç	-525	-525	525	525	0	0	360	20000000	"90010,20/90011,30/90012,20"	20044	2	1	1
14014	FACILITY	jedan	¨¾¿mª««~´£·Ò«Ç	-525	-525	525	525	0	0	360	20000000	"90010,20/90011,30/90012,20"	20045	2	1	1
14015	FACILITY	jedan	¸Ë¹¢ª««~´£·Ò«Ç	-525	-525	525	525	0	0	360	20000000	"90010,20/90011,30/90012,20"	20046	2	1	1
//14023	FACILITY	saryeongbu	¤j¥»Àç	-456.73	-495.09	456.73	530.3	0	0	360	20000000	"90010,30/90011,35/90012,35"	0	0	0	0
//14033	FACILITY	suryeonjang	­×½m³õ	-832.57	-472.99	832.57	472.99	0	0	360	20000000	"90010,25/90011,25/90012,25"	0	0	0	0

14043	FACILITY	yonggwangro	Æp¥Ûº²Äl	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20060	3	1	1
//14044	FACILITY	yonggwangro	µ[¬Äº²Äl	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20061	3	1	0
14045	FACILITY	yonggwangro	¤Æ¥Û¤ìº²Äl	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20062	3	1	1
14046	FACILITY	yonggwangro	»Éº²Äl	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20063	3	1	1
14047	FACILITY	yonggwangro	»Èº²Äl	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20064	3	1	1
14048	FACILITY	yonggwangro	¶Àª÷º²Äl	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20065	3	1	1
14049	FACILITY	yonggwangro	¥É¥Ûº²Äl	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20066	3	1	1
14050	FACILITY	yonggwangro	º¿·êº²Äl	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20067	3	1	1
