AFF_LOVE_POINT	琴瑟 : %d%%
ALIGNMENT_NAME	善惡值 : 
ATTACK_ERROR_UNKNOWN	攻擊出現錯誤 : %s
CANNOT_ATTACK_DEST_IN_SAFE	無法攻擊那裏的敵人
CANNOT_ATTACK_SELF_IN_SAFE	在這裏無法進攻對方
CANNOT_EQUIP_IN_EXCHANGE	交換物品時不能更換佩戴的裝備
CANNOT_EQUIP_IN_SHOP	與商店交易時不能更換佩戴的裝備
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	在廣場無法開啟個人商店
CANNOT_SHOOT_DEST_IN_SAFE	無法攻擊那裏的敵人
CANNOT_SHOOT_EMPTY_ARROW	沒有箭了,請裝備箭
CANNOT_SHOOT_SELF_IN_SAFE	在這裏無法進攻對方
CANNOT_SKILL_APPROACH	無法靠近的地區
CANNOT_SKILL_ATTACK	不能攻擊
CANNOT_SKILL_DEST_IN_SAFE	無法攻擊那裏的敵人
CANNOT_SKILL_EQUIP_FISHING_ROD	請將魚竿裝備在身上
CANNOT_SKILL_HAVE_TO_RIDE	騎馬使用的技能
CANNOT_SKILL_NEED_EMPTY_BOTTLE	沒有空瓶子
CANNOT_SKILL_NEED_POISON_BOTTLE	沒有毒瓶
CANNOT_SKILL_NEED_TARGET	請選擇攻擊的敵人
CANNOT_SKILL_NOT_ENOUGH_HP	體力不夠!
CANNOT_SKILL_NOT_ENOUGH_SP	精力不夠!
CANNOT_SKILL_NOT_HORSE_SKILL	騎馬時不能使用技能
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	使用此武器,無法使用的技能
CANNOT_SKILL_NOT_YET_LEARN	還不能使用的技能
CANNOT_SKILL_ONLY_FOR_ALLIANCE	只能使用在同伴身上
CANNOT_SKILL_ONLY_FOR_CORPSE	請使用在死亡的人身上
CANNOT_SKILL_REMOVE_FISHING_ROD	裝備魚竿時,無法使用技能
CANNOT_SKILL_SELF_IN_SAFE	在這裏無法進攻
CANNOT_SKILL_USE_SELF	無法使用在自己身上
CANNOT_SKILL_WAIT_COOLTIME	現在還不能使用
CANNOT_WHISPER_DEST_REFUSE	%s 現在是拒絕私聊狀態	SA
CANNOT_WHISPER_NOT_LOGON	%s 沒有連接遊戲伺服器	SA
CANNOT_WHISPER_SELF_REFUSE	拒絕私聊狀態下,不能發送私聊資訊	SNA
CHANNEL	伺服器名
CHANNELING_CANNOT_LOGOUT	不能到登陸畫面
CHANNEL_EMPTY_SERVER	無此伺服器
CHANNEL_NORMAL	伺服器名 %d
CHANNEL_NOTIFY_FULL	This channel is full! Please choose another one.	
CHANNEL_NOT_FIND_INFO	無法連接伺服器
CHANNEL_PVP	PVP
CHANNEL_SELECT_CHANNEL	請選擇登陸伺服器
CHANNEL_SELECT_REGION	請選擇大區
CHANNEL_SELECT_SERVER	請選擇伺服器
CHANNEL_TEST_SERVER	測試伺服器
CHANNEL_TEST_SERVER_ADDR	測試 %s:%d
CHAT_ALL	全部
CHAT_BLOCK	切斷
CHAT_GUILD	公會
CHAT_INFORMATION	信息
CHAT_INSULT_STRING	包含了不適當單詞
CHAT_LOG	開啟聊天
CHAT_LOG_TITLE	開啟聊天
CHAT_NORMAL	正常
CHAT_NOTICE	公告
CHAT_PARTY	組隊
CHAT_SEND_CHAT	申請聊天
CHAT_SEND_MEMO	傳音
CHAT_SHOUT	大喊
CHAT_SHOUT_LIMIT	每15秒大喊一次
CHAT_WHISPER	私聊
CREATE_ERROR_GM_NAME	不能使用包括<運營>的名稱
CREATE_ERROR_INSULT_NAME	不恰當的名稱
CREATE_EXIST_SAME_NAME	角色名字重複
CREATE_FAILURE	無法創建角色
