VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	공개여부
//14003	FACILITY	gongjakso	공작소	-527.93	-411.1	527.93	411.1	0	0	360	20000000	"90010,15/90011,25/90012,30"	0	0	0	0
14013	FACILITY	jedan	무기 제련소	-525	-525	525	525	0	0	360	20000000	"90010,20/90011,30/90012,20"	20044	2	1	1
14014	FACILITY	jedan	방어구 제련소	-525	-525	525	525	0	0	360	20000000	"90010,20/90011,30/90012,20"	20045	2	1	1
14015	FACILITY	jedan	액세서리 제련소	-525	-525	525	525	0	0	360	20000000	"90010,20/90011,30/90012,20"	20046	2	1	1
//14023	FACILITY	saryeongbu	사령부	-456.73	-495.09	456.73	530.3	0	0	360	20000000	"90010,30/90011,35/90012,35"	0	0	0	0
14033	FACILITY	suryeonjang	수련장	-832.57	-472.99	832.57	472.99	0	0	360	20000000	"90010,25/90011,25/90012,25"	0	0	0	2
																
14043	FACILITY	yonggwangro	다이아몬드 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20060	3	1	1
//14044	FACILITY	yonggwangro	호박 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20061	3	1	0
14045	FACILITY	yonggwangro	화석목 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20062	3	1	1
14046	FACILITY	yonggwangro	구리 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20063	3	1	1
14047	FACILITY	yonggwangro	은 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20064	3	1	1
14048	FACILITY	yonggwangro	금 용광로	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20065	3	1	1
