AFF_LOVE_POINT	금슬 : %d%%
ALIGNMENT_NAME	선악치 : 
ATTACK_ERROR_UNKNOWN	알 수 없는 직접 공격 에러 : %s
CANNOT_ATTACK_DEST_IN_SAFE	저곳에 있는 적을 공격할 수는 없어
CANNOT_ATTACK_SELF_IN_SAFE	이곳에서는 공격할 수 없어
CANNOT_EQUIP_IN_EXCHANGE	교환중일때에는 장비를 교체할 수 없습니다
CANNOT_EQUIP_IN_SHOP	상점을 이용중일때에는 장비를 교체할 수 없습니다
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	광장에서는 개인 상점을 여실 수 없습니다
CANNOT_SHOOT_DEST_IN_SAFE	저곳에 있는 적을 공격할 수는 없어
CANNOT_SHOOT_EMPTY_ARROW	화살이 부족해
CANNOT_SHOOT_SELF_IN_SAFE	이곳에서는 공격할 수 없어
CANNOT_SKILL_APPROACH	저곳으로 접근 할 수는 없을 것 같군
CANNOT_SKILL_ATTACK	공격할 수 없어
CANNOT_SKILL_DEST_IN_SAFE	저곳에 있는 적을 공격할 수는 없어
CANNOT_SKILL_EQUIP_FISHING_ROD	낚시대를 장착해야해
CANNOT_SKILL_HAVE_TO_RIDE	말을 타야만 사용 할 수 있어
CANNOT_SKILL_NEED_EMPTY_BOTTLE	빈병이 없어
CANNOT_SKILL_NEED_POISON_BOTTLE	독병이 없어
CANNOT_SKILL_NEED_TARGET	누구에게 쓸건지 결정해야...
CANNOT_SKILL_NOT_ENOUGH_HP	생명력이 부족해!
CANNOT_SKILL_NOT_ENOUGH_SP	정신력이 부족해!
CANNOT_SKILL_NOT_HORSE_SKILL	말을 타고 사용 할 수 없어
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	이 무기로는 사용할 수 없어
CANNOT_SKILL_NOT_YET_LEARN	사용할 수 없는 기술이군
CANNOT_SKILL_ONLY_FOR_ALLIANCE	동료에게만 사용할 수 있어
CANNOT_SKILL_ONLY_FOR_CORPSE	죽은자에게만 사용할 수 있어
CANNOT_SKILL_REMOVE_FISHING_ROD	낚시대를 들고서 스킬을 사용할 수는 없어
CANNOT_SKILL_SELF_IN_SAFE	이곳에서는 공격할 수 없어
