VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	????
//14003	FACILITY	gongjakso	¹¤·»	-527.93	-411.1	527.93	411.1	0	0	360	20000000	"90010,15/90011,25/90012,30"	0	0	0	0
14013	FACILITY	jedan	ÎäÆ÷Ò±	-525	-525	525	525	0	0	360	20000000	"90010,20/90011,30/90012,20"	20044	2	1	1
14014	FACILITY	jedan	·À¾ßÒ±	-525	-525	525	525	0	0	360	20000000	"90010,20/90011,30/90012,20"	20045	2	1	1
14015	FACILITY	jedan	Æ·Ò±	-525	-525	525	525	0	0	360	20000000	"90010,20/90011,30/90012,20"	20046	2	1	1
//14023	FACILITY	saryeongbu	Ë¾Áî²¿	-456.73	-495.09	456.73	530.3	0	0	360	20000000	"90010,30/90011,35/90012,35"	0	0	0	0
14033	FACILITY	suryeonjang	±ø	-832.57	-472.99	832.57	472.99	0	0	360	20000000	"90010,25/90011,25/90012,25"	0	0	0	2
																
14043	FACILITY	yonggwangro	Ê¯ÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20060	3	1	1
//14044	FACILITY	yonggwangro	çúçêÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20061	3	1	0
14045	FACILITY	yonggwangro	Ä¾ÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20062	3	1	1
14046	FACILITY	yonggwangro	ÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20063	3	1	1
14047	FACILITY	yonggwangro	ÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20064	3	1	1
14048	FACILITY	yonggwangro	½ðÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20065	3	1	1
14049	FACILITY	yonggwangro	ÓñÊ¯ÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20066	3	1	1
14050	FACILITY	yonggwangro	ºÚµ¤Ê¯ÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20067	3	1	1
14051	FACILITY	yonggwangro	ÕäÖéÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20068	3	1	1
14052	FACILITY	yonggwangro	°×½ðÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20069	3	1	1
14053	FACILITY	yonggwangro	Ë®¾§ÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20070	3	1	1
14054	FACILITY	yonggwangro	×ÏË®¾§ÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20071	3	1	1
14055	FACILITY	yonggwangro	ÌìÂ¶ÈÛ	-179.63	-199.89	179.63	199.89	0	0	360	20000000	"90010,15/90011,20/90012,25"	20072	3	1	1
																
14061	FACILITY	himuijedan_01	Á¦Ö®¼À	-523.91	-995.84	527.55	750.99	0	0	360	25000000	"90010,25/90011,25/90012,25"	20077	4	1	1
14062	FACILITY	himuijedan_02	Á¦Ö®¼À	-586.17	-995.84	587.18	818.56	0	0	360	500000000	"90010,50/90011,50/90012,50"	20078	4	4	2
14063	FACILITY	himuijedan_03	Á¦Ö®¼À	-664.7	-995.84	665.7	896.57	0	0	360	750000000	"90010,75/90011,75/90012,75"	20079	4	4	2
																
14100	HEADQUARTER	a1-011-workhouse	·¿ÎÝ(1)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	"90010,20/90011,30/90012,25"	0	1	0	1
14101	OBJECT	a1-038-wall-corner	Ê¯Ô«(1-1)	-400	-153.53	156.48	400	0	0	360	2000000	"90010,15/90011,5/90012,5"	0	5	0	2
14102	OBJECT	a1-038-wall-lin	Ê¯Ô«(1-2)	-200	-106.73	300	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14103	OBJECT	a1-038-wall-lin2	Ê¯Ô«(1-3)	-500	-106.73	500	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14104	OBJECT	a1-038-wall-door	´ó(1)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2
14105	BUILDIN	a1-set	Ô«(1)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	1
																
14110	HEADQUARTER	b1-011-workhouse	·¿ÎÝ(2)	-678.76	-894.26	687.94	749.32	0	0	360	20000000	"90010,20/90011,30/90012,25"	0	1	0	1
14111	OBJECT	b1-038-wall-corner	Ê¯Ô«(2-1)	-400	-153.53	156.48	400	0	0	360	2000000	"90010,15/90011,5/90012,5"	0	5	0	2
14112	OBJECT	b1-038-wall-lin	Ê¯Ô«(2-2)	-200	-106.73	300	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14113	OBJECT	b1-038-wall-lin2	Ê¯Ô«(2-3)	-500	-106.73	500	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14114	OBJECT	b1-038-wall-door	´ó(2)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2
14115	BUILDIN	b1-set	Ô«(2)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	1
																
14120	HEADQUARTER	c1-011-workhouse	·¿ÎÝ(3)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	"90010,20/90011,30/90012,25"	0	1	0	1
14121	OBJECT	c1-038-wall-corner	Ê¯Ô«(3-1)	-400	-153.53	156.48	400	0	0	360	2000000	"90010,15/90011,5/90012,5"	0	5	0	2
14122	OBJECT	c1-038-wall-lin	Ê¯Ô«(3-2)	-200	-106.73	300	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14123	OBJECT	c1-038-wall-lin2	Ê¯Ô«(3-3)	-500	-106.73	500	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
14124	OBJECT	c1-038-wall-door	´ó(3)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2
14125	BUILDIN	c1-set	Ô«(3)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	1
																
//14140	BUILDING	ob-7-01	¾¯Ëþ	-188.25	-221.33	188.25	221.33	0	0	360	3000000	"90010,20/90011,30/90012,35"	0	0	0	0
//14141	OBJECT	ob-7-02-01	Ä¾Ô«1	-3.69	-79.93	348.52	79.93	0	0	360	800000	"90010,5/90011,15/90012,15"	0	0	0	2
//14142	OBJECT	ob-7-02-02	Ä¾Ô«2	-72.14	-71.66	72.14	71.66	0	0	360	500000	"90010,5/90011,15/90012,15"	0	0	0	2
//14143	OBJECT	ob-7-03-01	Ä¾Ô«3	-390.82	-104.9	4.13	104.9	0	0	360	800000	"90010,5/90011,15/90012,15"	0	0	0	2
//14144	OBJECT	ob-7-03-02	Ä¾	-2.45	-192.41	695.53	192.41	0	0	360	2000000	"90010,5/90011,20/90012,20"	0	0	0	2
//14145	BUILDIN	ob1-set	Ô«(4)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	0	0	1
																
14200	OBJECT	guild_symbol	¹«Æì	-45.9	-9.44	42.68	40.13	0	0	360	3000000	"90011,5/90012,5"	0	0	1	1
14201	WALL	fence01_door01	Ô«´ó	-1000	-54	1000	20	0	0	360	3000000	90010.5	0	0	1	1
14202	WALL	fence01_back01	Ô«áá±Ú	-1000	-18	1000	18	0	0	360	3000000	90010.5	0	0	1	1
14203	WALL	fence01_left01	Ô«×ó±Ú	-19	-1362	19	1362	0	0	360	3000000	90010.5	0	0	1	1
14204	WALL	fence01_right01	Ô«ÓÒ±Ú	-18	-1362	18	1362	0	0	360	3000000	90010.5	0	0	1	1
																
14300	OBJECT	general_obj_stone01	Ê¯1	-116.04	-118.44	116.04	118.44	0	0	360	300000	"90010,5"	0	0	0	1
14301	OBJECT	general_obj_stone02	Ê¯2	-118.05	-132.67	118.05	132.67	0	0	360	300000	"90010,5"	0	0	0	1
14302	OBJECT	general_obj_stone03	Ê¯3	-133.43	-102.96	133.43	102.96	0	0	360	300000	"90010,7"	0	0	0	1
14303	OBJECT	general_obj_stone04	Ê¯4	-104.21	-117.82	104.21	117.82	0	0	360	300000	"90010,7"	0	0	0	1
14304	OBJECT	general_obj_stone05	Ê¯5	-171.59	-145.52	171.59	145.52	0	0	360	300000	"90010,7"	0	0	0	1
14305	OBJECT	general_obj_stone06	Ê¯6	-192.74	-201.58	192.74	201.58	0	0	360	300000	"90010,8"	0	0	0	1
14306	OBJECT	general_obj_stone07	Ê¯7	-183.58	-184.01	183.58	184.01	0	0	360	300000	"90010,8"	0	0	0	1
14307	OBJECT	general_obj_stone08	Ê¯8	-66.89	-56.67	66.89	56.67	0	0	360	300000	"90010,8"	0	0	0	1
14308	OBJECT	general_obj_stone09	Ê¯9	-65.87	-53.47	65.87	53.47	0	0	360	300000	"90010,9"	0	0	0	1
14309	OBJECT	general_obj_stone10	Ê¯10	-182.17	-123.03	182.17	123.03	0	0	360	300000	"90010,9"	0	0	0	1
																
14400	OBJECT	B1_PagodaTree_RT	Ä¾1					0	0	360	2000000	"90011,5"	0	0	0	1
14401	OBJECT	B1_PagodaTree_RT3	Ä¾2					0	0	360	2000000	"90011,5"	0	0	0	1
14402	OBJECT	B1_Sassafras_RT_Fall	Ä¾3					0	0	360	2000000	"90011,7"	0	0	0	1
14403	OBJECT	B1_Sassafras_RT_Fall2	Ä¾4					0	0	360	2000000	"90011,7"	0	0	0	1
14404	OBJECT	B3_ShingleOak_RT2	Ä¾5					0	0	360	2000000	"90011,7"	0	0	0	1
14405	OBJECT	B2_IvySpy_RT	Ä¾6					0	0	360	2000000	"90011,9"	0	0	0	1
14406	OBJECT	B2_IvySpy_RT4	Ä¾7					0	0	360	2000000	"90011,9"	0	0	0	1
14407	OBJECT	B2_JapaneseMaple_RT_Fall	Ä¾8					0	0	360	2000000	"90011,9"	0	0	0	1
14408	OBJECT	B2_JapaneseMaple_RT_Fall2	Ä¾9					0	0	360	2000000	"90011,9"	0	0	0	1
