AFF_LOVE_POINT	琴瑟 : %d%%
ALIGNMENT_NAME	善恶值 : 
ATTACK_ERROR_UNKNOWN	攻击出现错误 : %s
CANNOT_ATTACK_DEST_IN_SAFE	无法攻击那里的敌人
CANNOT_ATTACK_SELF_IN_SAFE	在这里无法进攻对方
CANNOT_EQUIP_IN_EXCHANGE	交换物品时不能更换佩戴的装备
CANNOT_EQUIP_IN_SHOP	与商店交易时不能更换佩戴的装备
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	在广场无法开启个人商店
CANNOT_SHOOT_DEST_IN_SAFE	无法攻击那里的敌人
CANNOT_SHOOT_EMPTY_ARROW	没有箭了,请装备箭
CANNOT_SHOOT_SELF_IN_SAFE	在这里无法进攻对方
CANNOT_SKILL_APPROACH	无法靠近的地区
CANNOT_SKILL_ATTACK	不能攻击
CANNOT_SKILL_DEST_IN_SAFE	无法攻击那里的敌人
CANNOT_SKILL_EQUIP_FISHING_ROD	请将鱼竿装备在身上
CANNOT_SKILL_HAVE_TO_RIDE	骑马使用的技能
CANNOT_SKILL_NEED_EMPTY_BOTTLE	没有空瓶子	
CANNOT_SKILL_NEED_POISON_BOTTLE	没有毒瓶	
CANNOT_SKILL_NEED_TARGET	请选择攻击的敌人	
CANNOT_SKILL_NOT_ENOUGH_HP	体力不够!	
CANNOT_SKILL_NOT_ENOUGH_SP	精力不够!	
CANNOT_SKILL_NOT_HORSE_SKILL	骑马时不能使用技能	
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	使用此武器,无法使用的技能	
CANNOT_SKILL_NOT_YET_LEARN	还不能使用的技能	
CANNOT_SKILL_ONLY_FOR_ALLIANCE	只能使用在同伴身上	
CANNOT_SKILL_ONLY_FOR_CORPSE	请使用在死亡的人身上	
CANNOT_SKILL_REMOVE_FISHING_ROD	装备鱼竿时,无法使用技能	
CANNOT_SKILL_SELF_IN_SAFE	在这里无法进攻	
CANNOT_SKILL_USE_SELF	无法使用在自己身上	
CANNOT_SKILL_WAIT_COOLTIME	现在还不能使用	
CANNOT_WHISPER_DEST_REFUSE	%s 现在是拒绝私聊状态	SA
CANNOT_WHISPER_NOT_LOGON	%s 没有连接游戏服务器	SA
CANNOT_WHISPER_SELF_REFUSE	拒绝私聊状态下,不能发送私聊信息	SNA
CHANNEL	服务器名	
CHANNELING_CANNOT_LOGOUT	不能到登陆画面	
CHANNEL_EMPTY_SERVER	无此服务器	
CHANNEL_NORMAL	服务器名 %d  	
CHANNEL_NOT_FIND_INFO	无法连接服务器	
CHANNEL_PVP	PVP         	
CHANNEL_SELECT_CHANNEL	请选择登陆服务器	
CHANNEL_SELECT_REGION	请选择大区	
CHANNEL_SELECT_SERVER	请选择服务器	
CHANNEL_TEST_SERVER	测试服务器	
CHANNEL_TEST_SERVER_ADDR	测试 %s:%d	
CHAT_ALL	全部	
CHAT_BLOCK	切断	
CHAT_GUILD	帮会	
CHAT_INFORMATION	信息	
CHAT_INSULT_STRING	包含了不适当单词
CHAT_LOG	开启聊天
CHAT_LOG_TITLE	开启聊天
CHAT_NORMAL	正常
CHAT_NOTICE	公告
CHAT_PARTY	组队
CHAT_SEND_CHAT	申请聊天
CHAT_SEND_MEMO	传音
CHAT_SHOUT	呐喊
CHAT_SHOUT_LIMIT	每15秒呐喊一次
CHAT_WHISPER	私聊
CREATE_ERROR_GM_NAME	不能使用包括<运营>的名称
CREATE_ERROR_INSULT_NAME	不恰当的名称
CREATE_EXIST_SAME_NAME	角色名字重复
CREATE_FAILURE	无法创建角色
CREATE_GM_NAME	运营
CREATE_INPUT_NAME	请输入角色名
CREATE_PLUS_STAT	剩余属性点
DAY	日
DO_YOU_DROP_MONEY	确定要丢掉%d金币吗？
DROP_ITEM_FAILURE_EQUIP_ITEM	无法丢掉已佩带的装备
DROP_ITEM_FAILURE_PRIVATE_SHOP	开启个人商店时不能丢弃物品
DROP_MONEY_FAILURE_1000_OVER	无法丢掉1000以上金币
EMOTION_DANCE_1	跳舞1
EMOTION_DANCE_2	跳舞2	
EMOTION_DANCE_3	跳舞3
EMOTION_DANCE_4	跳舞4
EMOTION_DANCE_5	跳舞5
EMOTION_CONGRATULATION	祝贺	
EMOTION_FORGIVE	宽容	
EMOTION_ANGRY	生气
EMOTION_ATTRACTIVE	诱惑	
EMOTION_SAD	悲伤	
EMOTION_SHY	害羞	
EMOTION_CHEERUP	加油	
EMOTION_BANTER	挑逗	
EMOTION_JOY	高兴	
EMOTION_CHEERS_1	欢呼 1
EMOTION_CHEERS_2	欢呼 2
EMOTION_CHOOSE_ONE	选择对方
EMOTION_CLAP	鼓掌
EMOTION_CLAP_KISS	接吻
EMOTION_FRENCH_KISS	热吻
EMOTION_SLAP	耳光
EMPIRE_A	盛唐国
EMPIRE_B	秦皇国
EMPIRE_C	汉武国
EXCHANGE_CANNOT_GIVE	不能交换的物品
EXCHANGE_CANT_EDIT_MONEY	决定的数额不能变更
EXCHANGE_FAILURE_EQUIP_ITEM	无法交换已佩带的装备
EXCHANGE_MONEY	交换金币
EXCHANGE_TITLE	和%s 的交换
FISHING_FAILURE	狡猾的鱼吃了鱼饵后,迅速逃跑了。
FISHING_UNKNOWN	不知道什么东西上钩
FISHING_WRONG_PLACE	无法在这里钓鱼
GAME_CANNOT_MINING	不能骑马采矿
GAME_CANNOT_PICK_ITEM	此物品不属于你,无权拾取
GAME_INIT_ERROR_CURSOR	鼠标显示失败
GAME_INIT_ERROR_DIRECTX	DirectX版本太低。\n请安装DirectX8.1以上的版本
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	侦测显卡失败\n请确认您的显卡能否运行此游戏
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	显卡初始化失败\n请确认您的显卡是否支持此游戏\n或确认硬件加速是否打开\n控制面板->显示->设置，点高级按扭\n->在’疑难解答’选项中把硬件加速调到最高
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	您的显卡不支持32位的窗口模式。\n设成16位或全屏模式。
GAME_INIT_ERROR_ITEM_PROTO	装备信息错误。\n请重新安装游戏
GAME_INIT_ERROR_MAIN_WINDOW	主页面显示失败
GAME_INIT_ERROR_MOB_PROTO	怪物信息错误。\n请重新安装游戏
GAME_INIT_ERROR_NETWORK	网络初始化失败。\n请检查与internet的连接状态
GAME_PICK_MONEY	获得%d 金币
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	长度不是128
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	长度应为12 
GUILDMARK_UPLOADER_ERROR_16_WIDTH	宽度应为16
GUILDMARK_UPLOADER_ERROR_64_WIDTH	宽度不是64
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	无法加载的帮会图标
GUILDMARK_UPLOADER_ERROR_PATH	请把帮会标志存放在metin2/upload 文件夹下
GUILDMARK_UPLOADER_ERROR_SELECT	没有相应的帮会图标
GUILDWAR_CTF_TITLE	颠覆战
GUILDWAR_NORMAL_TITLE	地盘战
GUILDWAR_QUESTION_LINE_1	%s 帮会向您帮会发出了挑战书.
GUILDWAR_QUESTION_LINE_2	是否接受? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	霸王战
GUILD_BUILDING_GRADE	等级
GUILD_BUILDING_NAME	建筑物名称
GUILD_CANNOT_HEAL_GSP_ANYMORE	没有必要恢复龙神力
GUILD_COMMENT	载入文字
GUILD_CREATE_ERROR_INSULT_NAME	帮会名称不是很恰当或已经被占用,请重新取名
GUILD_DEFAULT_GRADE	帮会会员
GUILD_DELETE	删除
GUILD_DEPOSIT	存钱
GUILD_DO_YOU_HEAL_GSP	使用%d 金币,恢复 %d 龙神力.
GUILD_DO_YOU_JOIN	要加入帮会吗？
GUILD_EMPTY_AREA	空地
GUILD_ENEMY_GUILD_NAME	对方帮会名称
GUILD_GEM	宝石
GUILD_HEAL_GSP	龙神力恢复
GUILD_INFO_ENEMY_GUILD_EMPTY	没有
GUILD_NAME	帮会名称
GUILD_NOT_ENOUGH_MATERIAL	因材料不足，不能建筑房屋
GUILD_NOT_ENOUGH_MONEY	因金钱不足，不能建筑房屋
GUILD_NO_NOTICE_PERMISSION	您没有写公告的权限
GUILD_OFFER_EXP	要分配的经验值
GUILD_SHORT_EXP	经验值不够
GUILD_TILE_BASEINFO	基地信息
GUILD_TILE_BOARD	提示板
GUILD_TILE_GRADE	职位管理
GUILD_TILE_INFO	帮会信息
GUILD_TILE_MEMBER	帮会会员
GUILD_TILE_SKILL	帮会技能
GUILD_WAR_LIMIT_30MIN	战斗时间为30分钟
GUILD_WAR_REWARD_POTION	获胜一方获得血瓶奖励
GUILD_WAR_USE_BATTLE_MAP	使用专用地图
GUILD_WAR_USE_NORMAL_MAP	使用现有地图
GUILD_WAR_WIN_CHECK_SCORE	分数高的帮会取得胜利
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	抢夺对方的旗帜，扛到自己基地
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	把对方旗帜先插到自己基地的一方取得胜利
GUILD_WAR_WIN_WIPE_OUT_GUILD	消灭对方全部帮会成员的帮会取得胜利
GUILD_WITHDRAW	取钱
GUILD_YOU_DO_NOT_JOIN	您还没有加入帮会
HORSE_HEALTH0	死亡
HORSE_HEALTH1	疲劳
HORSE_HEALTH2	饥饿
