VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	CÔNG CÔòNG
//14003	FACILITY	gongjakso	Nõi chêì taòo	-527.93	-411.1	527.93	411.1	0	0	360	20000000	90010,15/90011,25/90012,30	0	0	0	0
14013	FACILITY	jedan	Nõi chêì taòo vuÞ khiì	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20044	2	1	1
14014	FACILITY	jedan	Nõi chêì taòo aìo giaìp	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20045	2	1	1
14015	FACILITY	jedan	Nõi chêì taòo trang sýìc	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20046	2	1	1
//14023	FACILITY	saryeongbu	Trung tâm chiÒ huy	-456.73	-495.09	456.73	530.3	0	0	360	20000000	90010,30/90011,35/90012,35	0	0	0	0
14033	FACILITY	suryeonjang	Sân huâìn luyêòn	-832.57	-472.99	832.57	472.99	0	0	360	20000000	90010,25/90011,25/90012,25	0	0	0	2
																
14043	FACILITY	yonggwangro	LoÌ luyêòn kim cýõng	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20060	3	1	1
//14044	FACILITY	yonggwangro	LoÌ luyêòn hôÒ phaìch	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20061	3	1	0
14045	FACILITY	yonggwangro	LoÌ luyêòn gôÞ hoìa thaòch	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20062	3	1	1
14046	FACILITY	yonggwangro	LoÌ luyêòn ðôÌng	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20063	3	1	1
14047	FACILITY	yonggwangro	LoÌ luyêòn baòc	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20064	3	1	1
14048	FACILITY	yonggwangro	LoÌ luyêòn vaÌng	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20065	3	1	1
14049	FACILITY	yonggwangro	LoÌ luyêòn ngoòc biìch	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20066	3	1	1
14050	FACILITY	yonggwangro	LoÌ luyêòn maÞ naÞo	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20067	3	1	1
14051	FACILITY	yonggwangro	LoÌ luyêòn ngoòc trai	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20068	3	1	1
14052	FACILITY	yonggwangro	LoÌ luyêòn baòch kim	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20069	3	1	1
14053	FACILITY	yonggwangro	LoÌ luyêòn pha lê	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20070	3	1	1
14054	FACILITY	yonggwangro	LoÌ luyêòn thaòch anh tiìm	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20071	3	1	1
14055	FACILITY	yonggwangro	LoÌ luyêòn thiên lam	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20072	3	1	1
																
14061	FACILITY	himuijedan_01	Têì ðaÌn	-523.91	-995.84	527.55	750.99	0	0	360	25000000	90010,25/90011,25/90012,25	20077	4	1	1
14062	FACILITY	himuijedan_02	Têì ðaÌn	-586.17	-995.84	587.18	818.56	0	0	360	500000000	90010,50/90011,50/90012,50	20078	4	4	2
14063	FACILITY	himuijedan_03	Têì ðaÌn	-664.7	-995.84	665.7	896.57	0	0	360	750000000	90010,75/90011,75/90012,75	20079	4	4	2
																
14100	HEADQUARTER	a1-011-workhouse	NhaÌ chiình (1)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1
14101	OBJECT	a1-038-wall-corner	HaÌng raÌo ðaì (1-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2
14102	OBJECT	a1-038-wall-lin	HaÌng raÌo ðaì (1-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14103	OBJECT	a1-038-wall-lin2	HaÌng raÌo ðaì (1-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14104	OBJECT	a1-038-wall-door	CýÒa chiình (1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2
14105	BUILDIN	a1-set	HaÌng raÌo (1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1
																
14110	HEADQUARTER	b1-011-workhouse	NhaÌ chiình (2)	-678.76	-894.26	687.94	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1
14111	OBJECT	b1-038-wall-corner	HaÌng raÌo ðaì (2-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2
14112	OBJECT	b1-038-wall-lin	HaÌng raÌo ðaì (2-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14113	OBJECT	b1-038-wall-lin2	HaÌng raÌo ðaì (2-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14114	OBJECT	b1-038-wall-door	CýÒa chiình (2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2
14115	BUILDIN	b1-set	HaÌng raÌo (2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1
																
14120	HEADQUARTER	c1-011-workhouse	NhaÌ chiình (3)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1
14121	OBJECT	c1-038-wall-corner	HaÌng raÌo ðaì (3-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2
14122	OBJECT	c1-038-wall-lin	HaÌng raÌo ðaì (3-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14123	OBJECT	c1-038-wall-lin2	HaÌng raÌo ðaì (3-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2
14124	OBJECT	c1-038-wall-door	CýÒa chiình (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2
14125	BUILDIN	c1-set	HaÌng raÌo (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1
																
//14140	BUILDING	ob-7-01	Thaìp caÒnh vêò	-188.25	-221.33	188.25	221.33	0	0	360	3000000	90010,20/90011,30/90012,35	0	0	0	0
//14141	OBJECT	ob-7-02-01	HaÌng raÌo gôÞ (1)	-3.69	-79.93	348.52	79.93	0	0	360	800000	90010,5/90011,15/90012,15	0	0	0	2
//14142	OBJECT	ob-7-02-02	HaÌng raÌo gôÞ (2)	-72.14	-71.66	72.14	71.66	0	0	360	500000	90010,5/90011,15/90012,15	0	0	0	2
//14143	OBJECT	ob-7-03-01	HaÌng raÌo gôÞ (3)	-390.82	-104.9	4.13	104.9	0	0	360	800000	90010,5/90011,15/90012,15	0	0	0	2
