ACCEPT	확정
ATTACH_METIN_INFO	부착하시겠습니까?
ATTACH_METIN_TITLE	메틴석 부착
CANCEL	취소
CHANGE_PASSWORD_CONFIRM	새 비밀 번호 확인
CHANGE_PASSWORD_NEW	새 비밀 번호
CHANGE_PASSWORD_OLD	기존 비밀 번호
CHANGE_PASSWORD_TITLE	비밀 번호 변경
CHARACTER_ACTION	액션
CHARACTER_EMOTICON	이모티콘
CHARACTER_MAIN	캐릭터
CHARACTER_QUEST	퀘스트
CHARACTER_SKILL	스킬
CHARACTER_MUTUAL_ACTION	상호 액션
CHARACTER_NORMAL_ACTION	일반 액션
CLOSE	닫기
CREATE_ATT_GRADE	근력
CREATE_CREATE	만들기
CREATE_DEX_GRADE	민첩
CREATE_HP	체력
CREATE_LAST_POINT	남은 포인트
CREATE_NAME	캐릭터이름
CREATE_NEXT	다음
CREATE_PREV	이전
CREATE_SHAPE	기본 복장
CREATE_SP	지력
CREATE_STAT_RESET	초기화
EMPIRE_EXIT	나가기
EMPIRE_NEXT	다음
EMPIRE_PREV	이전
EMPIRE_SELECT	선택하기
EXCHANGE_ACCEPT	동의
EXCHANGE_TITLE	교환
GAMEOPTION_TITLE	게임옵션
GAME_EXIT_OBSERVER	관전종료
GAME_HELP	도움말
GAME_QUEST	퀘스트
GAME_SKILL_UP	기술수련
GAME_STAT_UP	능력수련
GUILD_BASENAME	기지이름
GUILD_BOARD_ID	아이디
GUILD_BOARD_REFRESH	갱신하기 (F5)
GUILD_BOARD_TEXT	내용
GUILD_BUILDING_CATEGORY_TITLE	건물 종류
GUILD_BUILDING_CHANGE	변경
GUILD_BUILDING_DIRECTION	방향
GUILD_BUILDING_GRADE	등급
GUILD_BUILDING_INFO	건물 정보 및 유지 정보
GUILD_BUILDING_LIST_TITLE	건물 리스트
GUILD_BUILDING_NAME	건물 이름
GUILD_BUILDING_OPERATE	작동
GUILD_BUILDING_POSITION	위치
GUILD_BUILDING_PREVIEW	프리뷰
GUILD_BUILDING_REFRESH	갱신하기 (F5)
GUILD_BUILDING_TITLE	길드 건물 짓기
GUILD_CRYSTAL	수정
GUILD_DEPOSIT	입금
GUILD_DROP_RESOURCE1	자원을 이곳에
GUILD_DROP_RESOURCE2	떨어트리세요
GUILD_GEM	보석
GUILD_GRADE_CHANGE_GRADE_NAME	변경할 직위명
GUILD_GRADE_NUM	등급
GUILD_GRADE_PERMISSION_DELETE	강퇴권한
GUILD_GRADE_PERMISSION_JOIN	가입권한
GUILD_GRADE_PERMISSION_NOTICE	공지권한
GUILD_GRADE_PERMISSION_SKILL	스킬권한
GUILD_GRADE_RANK	직위
GUILD_GRADE_WRITE	글 올리기
GUILD_INFO	길드 기본정보
GUILD_INFO_CUR_EXP	현재경험치
GUILD_INFO_DECALRE_WAR	선전포고
GUILD_INFO_ENEMY_GUILD	전쟁중인길드
GUILD_INFO_ENEMY_GUILD_EMPTY	없음
GUILD_INFO_LEVEL	길드레벨
GUILD_INFO_MARK	길드마크
GUILD_INFO_MASTER	길드마스터
GUILD_INFO_MASTER_VALUE	길드마스터
GUILD_INFO_MEMBER_AVG_LEVEL	길드원 평균레벨
GUILD_INFO_MEMBER_NUM	길드원수
GUILD_INFO_NAME	길드이름
GUILD_INFO_NAME_VALUE	길드이름입니다
GUILD_INFO_OFFER_EXP	투자
GUILD_INFO_REST_EXP	남은경험치
GUILD_INFO_UPLOAD_MARK	마크 올리기
GUILD_INFO_UPLOAD_SYMBOL	휘장 올리기
GUILD_MARK	길드 마크
GUILD_MEMBER_JOB	직업
GUILD_MEMBER_KNIGHT	장수
GUILD_MEMBER_LEVEL	레벨
GUILD_MEMBER_NAME	이름
GUILD_MEMBER_RANK	직위
GUILD_MEMBER_SPECIFIC_GRAVITY	기여도
GUILD_METIN_STONE	영석
GUILD_MINENAL	광석
GUILD_MONEY	길드 자금
GUILD_NAME	길드
GUILD_RESOURCE_INFO	자원 정보
GUILD_SKILL_ACTIVE	액티브
GUILD_SKILL_PASSIVE	패시브
GUILD_SKILL_POWER	용신력
GUILD_SKILL_STATE	길드에 걸려 있는 스킬
GUILD_SKIlL_HEAL_GSP	용신력 회복
GUILD_SYMBOL	길드 휘장
GUILD_WAR_ACCEPT	길드전 수락
