

VNUM	LOCALE_NAME
101	Cão Selvagem
102	Lobo
103	Lobo Alfa
104	Lobo Azul
105	Lobo Alfa Azul
106	Lobo Cinzento
107	Lobo Alfa Cinzento
108	Javali Selvagem
109	Javali Vermelho
110	Urso
111	Urso Cinzento
112	Urso Negro
113	Urso Pardo
114	Tigre
115	Tigre Branco
131	Lobo Amaldiçoado
132	Lobo Púrpura
133	Lobo Roxo
134	Lobo Alfa Púrpura
135	Lobo Alfa Roxo
136	Lobo Maldito
137	Javali Amaldiçoado
138	Javali Laranja
139	Urso Amaldiçoado
140	Urso Púrpura
141	Urso Roxo
142	Urso Vermelho
143	Tigre Amaldiçoado
144	Tigre Púrpura
151	Chomok
152	Murang
153	Jokyor
154	Yonji
155	Irlan
171	Cão Feroz
172	Lobo Feroz
173	Lobo Alfa Feroz
174	Lobo Azul Feroz
175	Lobo Alfa Faminto
176	Lobo Cinzento Feroz
177	Lobo Vermelho
178	Javali Feroz
179	Javali Faminto
180	Urso Feroz
181	Urso Púrpura Feroz
182	Urso Roxo Feroz
183	Urso Vermelho Feroz
184	Tigre Feroz
185	Tigre Vermelho
191	Sangyonshin
192	Joshin
193	Unshin
194	Hoshin
301	Soldado Branco
302	Arqueira Branca
303	General Branco
304	Comandante Branco
331	Soldado Verde
332	Arqueira Verde
333	General Verde
334	Comandante Verde
351	Soldado Vermelho
352	Arqueira Vermelha
353	General Vermelho
354	Comandante Vermelho
391	Mijon
392	Eunjon
393	Seran
394	Jinhi
395	Mijon de Elite
396	Eunjon de Elite
397	Seran de Elite
398	Jinhi de Elite
401	Vândalo
402	Vândalo Maníaco
403	Vândalo Arqueiro
404	Vândalo Brigão
405	Vândalo Valente
406	Vândalo Gigante
431	Bandido
432	Bandido Maníaco
433	Bandido Arqueiro
434	Bandido Brigão
435	Bandido Valente
436	Bandido Gigante
451	Gângster
452	Gângster Maníaco
453	Gângster Arqueiro
454	Gângster Brigão
455	Gângster Valente
456	Gângster Gigante
491	Meng Hwan
492	Bhou
493	Goopae
494	Chohun
501	Bárbaro
502	Bárbaro Assecla
503	Bárbaro Arqueiro
504	Bárbaro General
531	Invasor
532	Invasor Assecla
533	Invasor Arqueiro
534	Invasor General
551	Selvagem
552	Selvagem Assecla
553	Selvagem Arqueiro
554	Selvagem General
591	Capitão Bestial
595	Capitão Arqueiro
601	Orc
602	Batedor Orc
603	Guerreiro Orc
604	Feiticeiro Orc
631	Orc Bravo
632	Batedor Orc Bravo
633	Guerreiro Orc Bravo
634	Feiticeiro Orc Bravo
635	General Orc Bravo
636	Orc Negro Bravo
637	Orc Negro Gigante Bravo
651	Orc de Elite
652	Batedor Orc de Elite
653	Guerreiro Orc de Elite
654	Feiticeiro Orc de Elite
655	General Orc de Elite
656	Orc Negro
657	Orc Negro Gigante
691	Orc Chefe
692	Orc Chefe de Elite
693	Grande Chefe dos Orcs
701	Fanático
702	Fanático Soldado
703	Fanático Guerreiro
704	Fanático Lutador
705	Fanático Executor
706	Fanático Torturador
707	Fanático Evocador
731	Fanático Zen
732	Fanático Soldado Zen
733	Fanático Guerreiro Zen
734	Fanático Lutador Zen
735	Fanático Executor Zen
736	Fanático Torturador Zen
737	Fanático Evocador Zen
751	Fanático Pro
752	Fanático Soldado Pro
753	Fanático Guerreiro Pro
754	Fanático Lutador Pro
755	Fanático Executor Pro
756	Fanático Torturador Pro
757	Fanático Evocador Pro
771	Fanático Max
772	Fanático Soldado Max
773	Fanático Guerreiro Max
774	Fanático Lutador Max
775	Fanático Executor Max
776	Fanático Torturador Max
777	Fanático Evocador Max
791	Líder Fanático
792	Líder Fanático Zen
793	Líder Fanático Pro
794	Líder Fanático Max
795	Chefe Fanático
796	Chefe Fanático Max
901	Fantasma Pestilento
902	Cão Pestilento
903	Homem Pestilento
904	Espadachim Pestilento
905	Lanceiro Pestilento
906	Arqueiro Pestilento
907	Líder Pestilento
931	Fantasma Rancoroso
932	Cão Rancoroso
933	Homem Rancoroso
934	Espadachim Rancoroso
935	Lanceiro Rancoroso
936	Arqueiro Rancoroso
937	Líder Rancoroso
991	Ovo Pestilento
992	Transportador Pestilento
993	Líder Pestilento
1001	Demônio
1002	Demônio Arqueiro
1003	Demônio Lanceiro
1004	Demônio Shaman
1031	Rancoroso
1032	Rancoroso Arqueiro
1033	Rancoroso Lanceiro
1034	Rancoroso Shaman
1035	Rancoroso Fantasma
1036	Rancoroso Caótico
1037	Rancoroso Soldado
1038	Rancoroso Esqueleto
1039	Rancoroso Espectral
1040	Rancoroso Bestial
1041	Rancoroso Demoníaco
1061	Vingador
1062	Vingador Arqueiro
1063	Vingador Lanceiro
1064	Vingador Shaman
1065	Vingador Fantasma
1066	Vingador Caótico
1067	Vingador Soldado
1068	Vingador Esqueleto
1069	Vingador Espectral
1070	Vingador Bestial
1071	Vingador Demoníaco
1091	Rei Demônio
1092	Rei Demônio de Elite
1093	Ceifadora da Morte
1094	Rei Demônio Roxo
1095	Noname
1101	Pilar de Gelo
