

VNUM	LOCALE_NAME
101	Wild Dog
102	Wolf
103	Alpha Wolf
104	Blue Wolf
105	Alpha Blue Wolf
106	Grey Wolf
107	Alpha Grey Wolf
108	Wild Boar
109	Red Wild Boar
110	Bear
111	Grizzly Bear
112	Black Bear
113	Brown Bear
114	Tiger
115	White Tiger
131	Cursed Wolf
132	Cursed Alpha Wolf
133	Cursed Blue Wolf
134	Cursed Alpha Blue Wolf
135	Cursed Grey Wolf
136	Cursed Alpha Grey Wolf
137	Cursed Wild Boar
138	Cursed Red Wild Boar
139	Cursed Bear
140	Cursed Grizzly Bear
141	Cursed Black Bear
142	Cursed Brown Bear
143	Cursed Tiger
144	Cursed White Tiger
151	Wild Blue Wolf
152	Wild Grey Wolf
153	Wild Red Boar
154	Wild Black Bear
155	Wild White Tiger
171	Hungry Wild Dog
172	Hungry Wolf
173	Hungry Alpha Wolf
174	Hungry Blue Wolf
175	Hungry Alpha Blue Wolf
176	Hungry Grey Wolf
177	Hungry Alpha Grey Wolf
178	Hungry Wild Boar
179	Hungry Red Wild Boar
180	Hungry Bear
181	Hungry Grizzly Bear
182	Hungry Black Bear
183	Hungry Brown Bear
184	Hungry Tiger
185	Hungry White Tiger
191	Mountain Slik Wolf king
192	Scrofa
193	Bera Bear King
194	Tigris Tiger King
301	White Oath Soldier
302	White Oath Archer
303	White Oath General
304	White Oath Commander
331	Hazardous Oath Soldier
332	Hazardous Oath Archer
333	Hazardous Oath General
334	Hazardous Oath Commander
351	Toxic Oath Soldier
352	Toxic Oath Archer
353	Toxic Oath General
354	Toxic Oath Commander
391	White Oath Shadow
392	White Oath Bowman
393	White Oath Warrior
394	White Oath Shaman
395	Toxic Oath Shadow
396	Toxic Oath Bowman
397	Toxic Oath Warrior
398	Toxic Oath Commander
401	Black Wind Soldier
402	Black Wind Maniac
403	Black Wind Archer
404	Black Wind Jak-To
405	Black Wind To-Su
406	Black Wind Gu-Ryung
431	Black Storm Soldier
432	Black Storm Maniac
433	Black Storm Archer
434	Black Storm Joh-Hwan
435	Black Storm Kyuk-Jang
436	Black Storm Pho-Hwan
451	Black Tornado Soldier
452	Black Tornado Maniac
453	Black Tornado Archer
454	Black Tornado Jak-To
455	Black Tornado To-Su
456	Black Tornado Gu-Ryung
491	Black Wind Mahon
492	Black Wind Bu
493	Black Wind Goo-Pae
494	Black Wind Chuong
501	Savage Infantry
502	Savage Minion
503	Savage Archer
504	Savage General
531	Bestial Soldier
532	Bestial Maniac
533	Bestial Archer
534	Bestial Specialist
551	Raging Savage Infantry
552	Raging Savage Minion
553	Raging Savage Archer
554	Raging Savage General
591	Bestial Captain
595	Barbarian archer Captain
601	Orc
602	Orc Scout
603	Orc Fighter
604	Orc Sorcerer
631	Elite Orc
632	Elite Orc Scout
633	Elite Orc Fighter
634	Elite Orc Sorcerer
635	Elite Orc General
636	Black Orc
637	Black Orc Giant
651	Super Elite Orc
652	Super Elite Orc Scout
653	Super Elite Orc Fighter
654	Super Elite Orc Sorcerer
655	Super Elite Orc General
656	Super Black Orc
657	Super Black Orc Giant
691	Chief Orc
692	Chief Elite Orc
693	Double-Headed Ogres
701	Esoteric Fanatic
702	Esoteric Arahan
703	Esoteric Arahan Fighter
704	Chief Esoteric Arahan
705	Esoteric Executioner
706	Esoteric Tormentor
707	Esoteric Summoner
731	Elite Esoteric Fanatic
732	Elite Esoteric Arahan
733	Boss Eso-Arahan Fighter
734	Chief Elite Eso-Arahan
735	Elt Eso-Executioner
736	Elite Esoteric Tormentor
737	Elite Esoteric Summoner
751	Cruel Esoteric Fanatic
752	Cruel Esoteric Arahan
753	Cruel Eso-Arahan Fighter
754	Chief Cruel Eso-Arahan
755	Cruel Eso-Executioner
756	Cruel Esoteric Tormentor
757	Cruel Esoteric Summoner
771	Brutal Esoteric Fanatic
772	Brutal Esoteric Arahan
773	Brutal Eso-Arahan Fight
774	Chief Brutal Eso-Arahan
775	Brutal Eso-Executioner
776	Brutal Eso-Tormentor
777	Brutal Esoteric Summoner
791	Esoteric Leader
792	Vil-Esoteric Leader
793	Elite Esoteric Leader
794	Elt Vil-Esoteric Leader
795	Esoteric Buddhist Bishop
796	Undead Esoteric Buddhist
901	Plagued Ghost
902	Plagued Dog
903	Plagued Man
904	Plagued Swordman
905	Plagued Spearman
906	Plagued Archer
907	Plagued Leader
931	Evil Plagued Ghost
932	Evil Plagued Dog
933	Evil Plagued Man
934	Evil Plagued Swordman
935	Evil Plagued Spearman
936	Evil Plagued Archer
937	Evil Plagued Leader
991	Plagued Egg
992	Plague Carrier
993	Giant Plague Carrier
1001	Demon Soldier
1002	Demon Archer
1003	Demon Spearman
1004	Demon Shaman
1031	Demonic Soldier
1032	Demonic Archer
1033	Demonic Spearman
1034	Demonic Shaman
1035	Ghost Of Grudge
1036	Ghost Of Chaos
1037	Vile Demon Leader
1038	Skull Sword Master
1039	Flying Skull
1040	Immortal Ghost
1041	Demonic Beast
1061	Vilemonic Soldier
1062	Vilemonic Archer
1063	Vilemonic Spearman
1064	Vilemonic Shaman
1065	Revived Grudggist
1066	Revived Chaossist
1067	Vilemonic Demon Leader
1068	Vilemonic Skull-Sword
1069	Revived Flying Skull
1070	Revived Immortal Ghost
1071	Revived Demonic Beast
1091	Demon King
1092	Elite Demon King
1093	Death Reaper
1094	Elite Vile Demon King
1095	Noname
1101	Enchanted Ice
1102	Ice Killer Whale
1103	Ice Bug
1104	Ice Lion
1105	Ice man
1106	Yeti
1107	Ice Golem
1131	Sky Enchanted Ice
1132	Sky Ice Killer Whale
1133	Sky Ice Bug
1134	Sky Ice Lion
1135	Sky Ice man
1136	Sky Yeti
1137	Sky Ice Golem
1151	Enchanted Ice
1152	Ice Killer Whale
1153	Ice Bug
1154	Ice Lion
1155	Ice man
1156	Yeti
1157	Ice Golem
1171	DarkSky Enchanted Ice
1172	DarkSky Ice Killer Whale
1173	DarkSky Ice Bug
1174	DarkSky Ice Lion
1175	DarkSky Ice man
1176	DarkSky Yeti
1177	DarkSky Ice Golem
1191	Ice Witch
1192	Sky Ice Witch
1301	Tree Frog Soldier
1302	Tree Frog Leader
1303	Leflet Bogeyman
1304	Tiger Ghost
1305	Bullfrog General
1306	Boss Tiger-Ghost
1307	Berserker-Ghost
1331	Evil Tree Frog Soldier
1332	Evil Tree Frog Leader
1333	Evil Leflet Bogeyman
1334	Evil Yellow Tiger Ghost
1335	Evil Bullfrog General
1401	Giant Soldier
1402	Giant Scout
1403	Giant Old Fighter
1501	Stone Thrower
1502	Stone Shooter
1503	Giant Stone Shooter
1601	Giant Worker
1602	Giant Inspector
1603	Giant Hundred Overseer
1901	Nine Tails
1902	Boss Nine Tails
1903	Boss Nine Tails
2001	Baby Spider
2002	Venom-Spider
2003	Red Venom-Spider
2004	Claw Spider
2005	Soldier Spider
2031	Baby Venom-Spider
2032	Fatal Venom-Spider
2033	Venom-Strider
2034	Claw Arachnid
2035	Venom Arachnid
2036	Boss Venom-Arachnid
2051	Elite Spider
2052	Elite Venom-Spider
2053	Elite Red Venom-Spider
2054	Elite Claw-Spider
2055	Elite Soldier-Spider
2061	Baby Venom-Spider
2062	Fatal Venom-SPIDER
2063	Red Fatal Venom-Spider
2064	CLAW Arachnid
2065	Venom Arachnid
2071	Baby Toxic-Spider
2072	Deadly Toxic-Spider
2073	Red Fatal ToxicSpider
2074	Claw ToxicSpider
2075	Soldier ToxicSpider
2076	Boss Soldier ToxicSpider
2091	Queen Spider
2092	King Spider
2093	Boss Queen Spider
2101	Fennec Fox
2102	Eye of Chaos
2103	King Scorpion
2104	Scorpion Man
2105	Scorpion Archer
2106	Snake Swordman
2107	Snake Archer
2108	Desert Outlaw
2131	Scorpion Man
2132	Scorpion Archer
2133	Snake Swordman
2134	Snake Archer
2135	Desert OUTLAW
2151	Fierce Fennec Fox
2152	Fierce Eye of Chaos
2153	Fierce King Scorpion
2154	Fierce Scorpion Man
2155	Fierce Scorpion Archer
