

VNUM	LOCALE_NAME
1	お金
2	Japanver
10	短刀+0
11	短刀+1
12	短刀+2
13	短刀+3
14	短刀+4
15	短刀+5
16	短刀+6
17	短刀+7
18	短刀+8
19	短刀+9
20	長剣+0
21	長剣+1
22	長剣+2
23	長剣+3
24	長剣+4
25	長剣+5
26	長剣+6
27	長剣+7
28	長剣+8
29	長剣+9
30	月刀+0
31	月刀+1
32	月刀+2
33	月刀+3
34	月刀+4
35	月刀+5
36	月刀+6
37	月刀+7
38	月刀+8
39	月刀+9
40	洗剣+0
41	洗剣+1
42	洗剣+2
43	洗剣+3
44	洗剣+4
45	洗剣+5
46	洗剣+6
47	洗剣+7
48	洗剣+8
49	洗剣+9
50	狼牙刀+0
51	狼牙刀+1
52	狼牙刀+2
53	狼牙刀+3
54	狼牙刀+4
55	狼牙刀+5
56	狼牙刀+6
57	狼牙刀+7
58	狼牙刀+8
59	狼牙刀+9
60	銀の剣+0
61	銀の剣+1
62	銀の剣+2
63	銀の剣+3
64	銀の剣+4
65	銀の剣+5
66	銀の剣+6
67	銀の剣+7
68	銀の剣+8
69	銀の剣+9
70	青銅の剣+0
71	青銅の剣+1
72	青銅の剣+2
73	青銅の剣+3
74	青銅の剣+4
75	青銅の剣+5
76	青銅の剣+6
77	青銅の剣+7
78	青銅の剣+8
79	青銅の剣+9
80	四寅剣+0
81	四寅剣+1
82	四寅剣+2
83	四寅剣+3
84	四寅剣+4
85	四寅剣+5
86	四寅剣+6
87	四寅剣+7
88	四寅剣+8
89	四寅剣+9
90	南蛮刀+0
91	南蛮刀+1
92	南蛮刀+2
93	南蛮刀+3
94	南蛮刀+4
95	南蛮刀+5
96	南蛮刀+6
97	南蛮刀+7
98	南蛮刀+8
99	南蛮刀+9
100	血剣+0
101	血剣+1
102	血剣+2
103	血剣+3
104	血剣+4
105	血剣+5
106	血剣+6
107	血剣+7
108	血剣+8
109	血剣+9
110	黙剣+0
111	黙剣+1
112	黙剣+2
113	黙剣+3
114	黙剣+4
115	黙剣+5
116	黙剣+6
117	黙剣+7
118	黙剣+8
119	黙剣+9
120	飛仙剣+0
121	飛仙剣+1
122	飛仙剣+2
123	飛仙剣+3
124	飛仙剣+4
125	飛仙剣+5
126	飛仙剣+6
127	飛仙剣+7
128	飛仙剣+8
129	飛仙剣+9
130	半月刀+0
131	半月刀+1
132	半月刀+2
133	半月刀+3
134	半月刀+4
135	半月刀+5
136	半月刀+6
137	半月刀+7
138	半月刀+8
139	半月刀+9
140	無双剣+0
141	無双剣+1
142	無双剣+2
143	無双剣+3
144	無双剣+4
145	無双剣+5
146	無双剣+6
147	無双剣+7
148	無双剣+8
149	無双剣+9
150	鬼牙剣+0
151	鬼牙剣+1
152	鬼牙剣+2
153	鬼牙剣+3
154	鬼牙剣+4
155	鬼牙剣+5
156	鬼牙剣+6
157	鬼牙剣+7
158	鬼牙剣+8
159	鬼牙剣+9
160	天女剣+0
161	天女剣+1
162	天女剣+2
163	天女剣+3
164	天女剣+4
165	天女剣+5
166	天女剣+6
167	天女剣+7
168	天女剣+8
169	天女剣+9
170	小覇刀+0
171	小覇刀+1
172	小覇刀+2
173	小覇刀+3
174	小覇刀+4
175	小覇刀+5
176	小覇刀+6
177	小覇刀+7
178	小覇刀+8
179	小覇刀+9
180	蛇矛剣+0
181	蛇矛剣+1
182	蛇矛剣+2
183	蛇矛剣+3
184	蛇矛剣+4
185	蛇矛剣+5
186	蛇矛剣+6
187	蛇矛剣+7
188	蛇矛剣+8
189	蛇矛剣+9
190	獅子剣+0
191	獅子剣+1
192	獅子剣+2
193	獅子剣+3
194	獅子剣+4
195	獅子剣+5
196	獅子剣+6
197	獅子剣+7
198	獅子剣+8
199	獅子剣+9
200	進退魔刀+0
201	進退魔刀+1
202	進退魔刀+2
203	進退魔刀+3
204	進退魔刀+4
205	進退魔刀+5
206	進退魔刀+6
207	進退魔刀+7
208	進退魔刀+8
209	進退魔刀+9
210	紫金刀+0
211	紫金刀+1
212	紫金刀+2
213	紫金刀+3
214	紫金刀+4
215	紫金刀+5
216	紫金刀+6
217	紫金刀+7
218	紫金刀+8
219	紫金刀+9
220	月牙剣+0
221	月牙剣+1
222	月牙剣+2
223	月牙剣+3
224	月牙剣+4
225	月牙剣+5
226	月牙剣+6
227	月牙剣+7
228	月牙剣+8
229	月牙剣+9
230	天長剣+0
231	天長剣+1
232	天長剣+2
233	天長剣+3
234	天長剣+4
235	天長剣+5
236	天長剣+6
237	天長剣+7
238	天長剣+8
239	天長剣+9
240	退魔刀+0
241	退魔刀+1
242	退魔刀+2
243	退魔刀+3
244	退魔刀+4
245	退魔刀+5
246	退魔刀+6
247	退魔刀+7
248	退魔刀+8
249	退魔刀+9
250	邪気刀+0
251	邪気刀+1
252	邪気刀+2
253	邪気刀+3
254	邪気刀+4
255	邪気刀+5
256	邪気刀+6
257	邪気刀+7
258	邪気刀+8
259	邪気刀+9
260	封臣剣+0
261	封臣剣+1
262	封臣剣+2
263	封臣剣+3
264	封臣剣+4
