

VNUM	LOCALE_NAME
1	金币
2	?????
10	短刀+0
11	短刀+1
12	短刀+2
13	短刀+3
14	短刀+4
15	短刀+5
16	短刀+6
17	短刀+7
18	短刀+8
19	短刀+9
20	长剑+0
21	长剑+1
22	长剑+2
23	长剑+3
24	长剑+4
25	长剑+5
26	长剑+6
27	长剑+7
28	长剑+8
29	长剑+9
30	弯刀+0
31	弯刀+1
32	弯刀+2
33	弯刀+3
34	弯刀+4
35	弯刀+5
36	弯刀+6
37	弯刀+7
38	弯刀+8
39	弯刀+9
40	阔剑+0
41	阔剑+1
42	阔剑+2
43	阔剑+3
44	阔剑+4
45	阔剑+5
46	阔剑+6
47	阔剑+7
48	阔剑+8
49	阔剑+9
50	齿牙刀+0
51	齿牙刀+1
52	齿牙刀+2
53	齿牙刀+3
54	齿牙刀+4
55	齿牙刀+5
56	齿牙刀+6
57	齿牙刀+7
58	齿牙刀+8
59	齿牙刀+9
60	银剑+0
61	银剑+1
62	银剑+2
63	银剑+3
64	银剑+4
65	银剑+5
66	银剑+6
67	银剑+7
68	银剑+8
69	银剑+9
70	青风剑+0
71	青风剑+1
72	青风剑+2
73	青风剑+3
74	青风剑+4
75	青风剑+5
76	青风剑+6
77	青风剑+7
78	青风剑+8
79	青风剑+9
80	寒风剑+0
81	寒风剑+1
82	寒风剑+2
83	寒风剑+3
84	寒风剑+4
85	寒风剑+5
86	寒风剑+6
87	寒风剑+7
88	寒风剑+8
89	寒风剑+9
90	麒麟刀+0
91	麒麟刀+1
92	麒麟刀+2
93	麒麟刀+3
94	麒麟刀+4
95	麒麟刀+5
96	麒麟刀+6
97	麒麟刀+7
98	麒麟刀+8
99	麒麟刀+9
100	倚天剑+0
101	倚天剑+1
102	倚天剑+2
103	倚天剑+3
104	倚天剑+4
105	倚天剑+5
106	倚天剑+6
107	倚天剑+7
108	倚天剑+8
109	倚天剑+9
110	碧血剑+0
111	碧血剑+1
112	碧血剑+2
113	碧血剑+3
114	碧血剑+4
115	碧血剑+5
116	碧血剑+6
117	碧血剑+7
118	碧血剑+8
119	碧血剑+9
120	苍穹剑+0
121	苍穹剑+1
122	苍穹剑+2
123	苍穹剑+3
124	苍穹剑+4
125	苍穹剑+5
126	苍穹剑+6
127	苍穹剑+7
128	苍穹剑+8
129	苍穹剑+9
130	半月刀+0
131	半月刀+1
132	半月刀+2
133	半月刀+3
134	半月刀+4
135	半月刀+5
136	半月刀+6
137	半月刀+7
138	半月刀+8
139	半月刀+9
140	龙虎刀+0
141	龙虎刀+1
142	龙虎刀+2
143	龙虎刀+3
144	龙虎刀+4
145	龙虎刀+5
146	龙虎刀+6
147	龙虎刀+7
148	龙虎刀+8
149	龙虎刀+9
150	夺魂刀+0
151	夺魂刀+1
152	夺魂刀+2
153	夺魂刀+3
154	夺魂刀+4
155	夺魂刀+5
156	夺魂刀+6
157	夺魂刀+7
158	夺魂刀+8
159	夺魂刀+9
160	封神刀+0
161	封神刀+1
162	封神刀+2
163	封神刀+3
164	封神刀+4
165	封神刀+5
166	封神刀+6
167	封神刀+7
168	封神刀+8
169	封神刀+9
170	天煞刀+0
171	天煞刀+1
172	天煞刀+2
173	天煞刀+3
174	天煞刀+4
175	天煞刀+5
176	天煞刀+6
177	天煞刀+7
178	天煞刀+8
179	天煞刀+9
180	伏牺刀+0
181	伏牺刀+1
182	伏牺刀+2
183	伏牺刀+3
184	伏牺刀+4
185	伏牺刀+5
186	伏牺刀+6
187	伏牺刀+7
188	伏牺刀+8
189	伏牺刀+9
190	龙颚闪+0
191	龙颚闪+1
192	龙颚闪+2
193	龙颚闪+3
194	龙颚闪+4
195	龙颚闪+5
196	龙颚闪+6
197	龙颚闪+7
198	龙颚闪+8
199	龙颚闪+9
200	九龙神剑+0
201	九龙神剑+1
202	九龙神剑+2
203	九龙神剑+3
204	九龙神剑+4
205	九龙神剑+5
206	九龙神剑+6
207	九龙神剑+7
208	九龙神剑+8
209	九龙神剑+9
210	落梅血剑+0
211	落梅血剑+1
212	落梅血剑+2
213	落梅血剑+3
214	落梅血剑+4
215	落梅血剑+5
216	落梅血剑+6
217	落梅血剑+7
218	落梅血剑+8
219	落梅血剑+9
220	天山苍穹剑+0
221	天山苍穹剑+1
222	天山苍穹剑+2
223	天山苍穹剑+3
224	天山苍穹剑+4
225	天山苍穹剑+5
226	天山苍穹剑+6
227	天山苍穹剑+7
228	天山苍穹剑+8
229	天山苍穹剑+9
230	天蚕游丝剑+0
231	天蚕游丝剑+1
232	天蚕游丝剑+2
233	天蚕游丝剑+3
234	天蚕游丝剑+4
235	天蚕游丝剑+5
236	天蚕游丝剑+6
237	天蚕游丝剑+7
238	天蚕游丝剑+8
239	天蚕游丝剑+9
240	七窍破魂剑+0
241	七窍破魂剑+1
242	七窍破魂剑+2
243	七窍破魂剑+3
244	七窍破魂剑+4
245	七窍破魂剑+5
246	七窍破魂剑+6
247	七窍破魂剑+7
248	七窍破魂剑+8
249	七窍破魂剑+9
250	怒海狂潮剑+0
251	怒海狂潮剑+1
252	怒海狂潮剑+2
253	怒海狂潮剑+3
254	怒海狂潮剑+4
255	怒海狂潮剑+5
256	怒海狂潮剑+6
257	怒海狂潮剑+7
258	怒海狂潮剑+8
259	怒海狂潮剑+9
260	晨星弑月剑+0
261	晨星弑月剑+1
262	晨星弑月剑+2
263	晨星弑月剑+3
264	晨星弑月剑+4
265	晨星弑月剑+5
266	晨星弑月剑+6
267	晨星弑月剑+7
268	晨星弑月剑+8
269	晨星弑月剑+9
270	五虎伏魔剑+0
271	五虎伏魔剑+1
272	五虎伏魔剑+2
273	五虎伏魔剑+3
274	五虎伏魔剑+4
275	五虎伏魔剑+5
276	五虎伏魔剑+6
277	五虎伏魔剑+7
278	五虎伏魔剑+8
279	五虎伏魔剑+9
280	骇地惊天剑+0
281	骇地惊天剑+1
282	骇地惊天剑+2
283	骇地惊天剑+3
284	骇地惊天剑+4
285	骇地惊天剑+5
286	骇地惊天剑+6
287	骇地惊天剑+7
288	骇地惊天剑+8
289	骇地惊天剑+9
290	青焰刀+0
291	青焰刀+1
292	青焰刀+2
293	青焰刀+3
294	青焰刀+4
295	青焰刀+5
296	青焰刀+6
297	青焰刀+7
298	青焰刀+8
299	青焰刀+9
1000	匕首+0
1001	匕首+1
1002	匕首+2
1003	匕首+3
1004	匕首+4
1005	匕首+5
1006	匕首+6
1007	匕首+7
1008	匕首+8
1009	匕首+9
1010	刃剑+0
1011	刃剑+1
1012	刃剑+2
1013	刃剑+3
1014	刃剑+4
1015	刃剑+5
1016	刃剑+6
1017	刃剑+7
1018	刃剑+8
1019	刃剑+9
1020	牙剑+0
1021	牙剑+1
1022	牙剑+2
1023	牙剑+3
1024	牙剑+4
1025	牙剑+5
1026	牙剑+6
1027	牙剑+7
1028	牙剑+8
1029	牙剑+9
1030	武刃+0
1031	武刃+1
1032	武刃+2
1033	武刃+3
1034	武刃+4
1035	武刃+5
1036	武刃+6
1037	武刃+7
1038	武刃+8
1039	武刃+9
1040	蛇影+0
1041	蛇影+1
1042	蛇影+2
1043	蛇影+3
1044	蛇影+4
1045	蛇影+5
1046	蛇影+6
1047	蛇影+7
1048	蛇影+8
1049	蛇影+9
1050	闪光+0
1051	闪光+1
1052	闪光+2
1053	闪光+3
1054	闪光+4
1055	闪光+5
1056	闪光+6
1057	闪光+7
1058	闪光+8
1059	闪光+9
1060	鬼切+0
1061	鬼切+1
1062	鬼切+2
1063	鬼切+3
1064	鬼切+4
1065	鬼切+5
1066	鬼切+6
1067	鬼切+7
1068	鬼切+8
1069	鬼切+9
1070	凤翔+0
1071	凤翔+1
1072	凤翔+2
1073	凤翔+3
1074	凤翔+4
1075	凤翔+5
1076	凤翔+6
1077	凤翔+7
1078	凤翔+8
1079	凤翔+9
1080	龙牙+0
1081	龙牙+1
1082	龙牙+2
1083	龙牙+3
1084	龙牙+4
1085	龙牙+5
1086	龙牙+6
1087	龙牙+7
1088	龙牙+8
1089	龙牙+9
1090	残影+0
1091	残影+1
1092	残影+2
1093	残影+3
1094	残影+4
1095	残影+5
1096	残影+6
1097	残影+7
1098	残影+8
1099	残影+9
1100	冰牙+0
1101	冰牙+1
1102	冰牙+2
1103	冰牙+3
1104	冰牙+4
1105	冰牙+5
1106	冰牙+6
1107	冰牙+7
1108	冰牙+8
1109	冰牙+9
1110	麒麟牙+0
1111	麒麟牙+1
1112	麒麟牙+2
1113	麒麟牙+3
1114	麒麟牙+4
1115	麒麟牙+5
1116	麒麟牙+6
1117	麒麟牙+7
1118	麒麟牙+8
1119	麒麟牙+9
1120	乌皇剑+0
1121	乌皇剑+1
1122	乌皇剑+2
1123	乌皇剑+3
1124	乌皇剑+4
1125	乌皇剑+5
1126	乌皇剑+6
1127	乌皇剑+7
1128	乌皇剑+8
1129	乌皇剑+9
1130	双极星无双刃+0
1131	双极星无双刃+1
1132	双极星无双刃+2
1133	双极星无双刃+3
1134	双极星无双刃+4
1135	双极星无双刃+5
1136	双极星无双刃+6
1137	双极星无双刃+7
1138	双极星无双刃+8
1139	双极星无双刃+9
1140	无双刃+0
1141	无双刃+1
1142	无双刃+2
1143	无双刃+3
1144	无双刃+4
1145	无双刃+5
1146	无双刃+6
1147	无双刃+7
1148	无双刃+8
1149	无双刃+9
1150	目电惊雷+0
1151	目电惊雷+1
1152	目电惊雷+2
1153	目电惊雷+3
1154	目电惊雷+4
1155	目电惊雷+5
1156	目电惊雷+6
1157	目电惊雷+7
1158	目电惊雷+8
1159	目电惊雷+9
1160	双刃狂疾+0
1161	双刃狂疾+1
1162	双刃狂疾+2
1163	双刃狂疾+3
1164	双刃狂疾+4
1165	双刃狂疾+5
1166	双刃狂疾+6
1167	双刃狂疾+7
1168	双刃狂疾+8
1169	双刃狂疾+9
1170	吴钩+0
1171	吴钩+1
1172	吴钩+2
1173	吴钩+3
1174	吴钩+4
1175	吴钩+5
1176	吴钩+6
1177	吴钩+7
1178	吴钩+8
1179	吴钩+9
2000	木弓+0
2001	木弓+1
2002	木弓+2
2003	木弓+3
2004	木弓+4
2005	木弓+5
2006	木弓+6
2007	木弓+7
2008	木弓+8
2009	木弓+9
2010	火焰弓+0
2011	火焰弓+1
2012	火焰弓+2
2013	火焰弓+3
2014	火焰弓+4
2015	火焰弓+5
2016	火焰弓+6
2017	火焰弓+7
2018	火焰弓+8
2019	火焰弓+9
2020	神木弓+0
2021	神木弓+1
2022	神木弓+2
2023	神木弓+3
2024	神木弓+4
2025	神木弓+5
2026	神木弓+6
2027	神木弓+7
2028	神木弓+8
2029	神木弓+9
2030	禹王弓+0
2031	禹王弓+1
2032	禹王弓+2
2033	禹王弓+3
2034	禹王弓+4
2035	禹王弓+5
2036	禹王弓+6
2037	禹王弓+7
2038	禹王弓+8
2039	禹王弓+9
2040	闭月弓+0
2041	闭月弓+1
2042	闭月弓+2
2043	闭月弓+3
2044	闭月弓+4
2045	闭月弓+5
2046	闭月弓+6
2047	闭月弓+7
2048	闭月弓+8
2049	闭月弓+9
2050	凤翎弓+0
2051	凤翎弓+1
2052	凤翎弓+2
2053	凤翎弓+3
2054	凤翎弓+4
2055	凤翎弓+5
2056	凤翎弓+6
2057	凤翎弓+7
2058	凤翎弓+8
2059	凤翎弓+9
2060	落日弓+0
2061	落日弓+1
2062	落日弓+2
2063	落日弓+3
2064	落日弓+4
2065	落日弓+5
2066	落日弓+6
2067	落日弓+7
2068	落日弓+8
2069	落日弓+9
2070	魔魂弓+0
2071	魔魂弓+1
2072	魔魂弓+2
2073	魔魂弓+3
2074	魔魂弓+4
2075	魔魂弓+5
2076	魔魂弓+6
2077	魔魂弓+7
2078	魔魂弓+8
2079	魔魂弓+9
2080	圣灵之音+0
2081	圣灵之音+1
2082	圣灵之音+2
2083	圣灵之音+3
2084	圣灵之音+4
2085	圣灵之音+5
2086	圣灵之音+6
2087	圣灵之音+7
2088	圣灵之音+8
2089	圣灵之音+9
2090	天神之怒+0
2091	天神之怒+1
2092	天神之怒+2
2093	天神之怒+3
2094	天神之怒+4
2095	天神之怒+5
2096	天神之怒+6
2097	天神之怒+7
2098	天神之怒+8
2099	天神之怒+9
2100	龙啸九天+0
2101	龙啸九天+1
2102	龙啸九天+2
2103	龙啸九天+3
2104	龙啸九天+4
2105	龙啸九天+5
2106	龙啸九天+6
2107	龙啸九天+7
2108	龙啸九天+8
2109	龙啸九天+9
2110	响云天弓+0
2111	响云天弓+1
2112	响云天弓+2
2113	响云天弓+3
2114	响云天弓+4
2115	响云天弓+5
2116	响云天弓+6
2117	响云天弓+7
2118	响云天弓+8
2119	响云天弓+9
2120	龙神梵天弓+0
2121	龙神梵天弓+1
2122	龙神梵天弓+2
2123	龙神梵天弓+3
2124	龙神梵天弓+4
2125	龙神梵天弓+5
2126	龙神梵天弓+6
2127	龙神梵天弓+7
2128	龙神梵天弓+8
2129	龙神梵天弓+9
2130	紫月驱魔弓+0
2131	紫月驱魔弓+1
2132	紫月驱魔弓+2
2133	紫月驱魔弓+3
2134	紫月驱魔弓+4
2135	紫月驱魔弓+5
2136	紫月驱魔弓+6
2137	紫月驱魔弓+7
2138	紫月驱魔弓+8
2139	紫月驱魔弓+9
2140	九龙游魂弓+0
2141	九龙游魂弓+1
2142	九龙游魂弓+2
2143	九龙游魂弓+3
2144	九龙游魂弓+4
2145	九龙游魂弓+5
2146	九龙游魂弓+6
2147	九龙游魂弓+7
2148	九龙游魂弓+8
2149	九龙游魂弓+9
2150	灵蛇弓+0
