

VNUM	LOCALE_NAME
1	金幣
2	韓國版本111004-1616
10	刀+0
11	刀+1
12	刀+2
13	刀+3
14	刀+4
15	刀+5
16	刀+6
17	刀+7
18	刀+8
19	刀+9
20	長劍+0
21	長劍+1
22	長劍+2
23	長劍+3
24	長劍+4
25	長劍+5
26	長劍+6
27	長劍+7
28	長劍+8
29	長劍+9
30	彎刀+0
31	彎刀+1
32	彎刀+2
33	彎刀+3
34	彎刀+4
35	彎刀+5
36	彎刀+6
37	彎刀+7
38	彎刀+8
39	彎刀+9
40	細劍+0
41	細劍+1
42	細劍+2
43	細劍+3
44	細劍+4
45	細劍+5
46	細劍+6
47	細劍+7
48	細劍+8
49	細劍+9
50	狼牙刀+0
51	狼牙刀+1
52	狼牙刀+2
53	狼牙刀+3
54	狼牙刀+4
55	狼牙刀+5
56	狼牙刀+6
57	狼牙刀+7
58	狼牙刀+8
59	狼牙刀+9
60	銀劍+0
61	銀劍+1
62	銀劍+2
63	銀劍+3
64	銀劍+4
65	銀劍+5
66	銀劍+6
67	銀劍+7
68	銀劍+8
69	銀劍+9
70	軟劍+0
71	軟劍+1
72	軟劍+2
73	軟劍+3
74	軟劍+4
75	軟劍+5
76	軟劍+6
77	軟劍+7
78	軟劍+8
79	軟劍+9
80	四刃劍+0
81	四刃劍+1
82	四刃劍+2
83	四刃劍+3
84	四刃劍+4
85	四刃劍+5
86	四刃劍+6
87	四刃劍+7
88	四刃劍+8
89	四刃劍+9
90	南蠻刀+0
91	南蠻刀+1
92	南蠻刀+2
93	南蠻刀+3
94	南蠻刀+4
95	南蠻刀+5
96	南蠻刀+6
97	南蠻刀+7
98	南蠻刀+8
99	南蠻刀+9
100	血劍+0
101	血劍+1
102	血劍+2
103	血劍+3
104	血劍+4
105	血劍+5
106	血劍+6
107	血劍+7
108	血劍+8
109	血劍+9
110	墨劍+0
111	墨劍+1
112	墨劍+2
113	墨劍+3
114	墨劍+4
115	墨劍+5
116	墨劍+6
117	墨劍+7
118	墨劍+8
119	墨劍+9
120	飛仙劍+0
121	飛仙劍+1
122	飛仙劍+2
123	飛仙劍+3
124	飛仙劍+4
125	飛仙劍+5
126	飛仙劍+6
127	飛仙劍+7
128	飛仙劍+8
129	飛仙劍+9
130	彎月刀+0
131	彎月刀+1
132	彎月刀+2
133	彎月刀+3
134	彎月刀+4
135	彎月刀+5
136	彎月刀+6
137	彎月刀+7
138	彎月刀+8
139	彎月刀+9
140	無雙劍+0
141	無雙劍+1
142	無雙劍+2
143	無雙劍+3
144	無雙劍+4
145	無雙劍+5
146	無雙劍+6
147	無雙劍+7
148	無雙劍+8
149	無雙劍+9
150	鬼牙劍+0
151	鬼牙劍+1
152	鬼牙劍+2
153	鬼牙劍+3
154	鬼牙劍+4
155	鬼牙劍+5
156	鬼牙劍+6
157	鬼牙劍+7
158	鬼牙劍+8
159	鬼牙劍+9
160	倩女劍+0
161	倩女劍+1
162	倩女劍+2
163	倩女劍+3
164	倩女劍+4
165	倩女劍+5
166	倩女劍+6
167	倩女劍+7
168	倩女劍+8
169	倩女劍+9
170	逍霸刀+0
171	逍霸刀+1
172	逍霸刀+2
173	逍霸刀+3
174	逍霸刀+4
175	逍霸刀+5
176	逍霸刀+6
177	逍霸刀+7
178	逍霸刀+8
179	逍霸刀+9
180	細刃劍+0
181	細刃劍+1
182	細刃劍+2
183	細刃劍+3
184	細刃劍+4
185	細刃劍+5
186	細刃劍+6
187	細刃劍+7
188	細刃劍+8
189	細刃劍+9
190	獅王劍+0
191	獅王劍+1
192	獅王劍+2
193	獅王劍+3
194	獅王劍+4
195	獅王劍+5
196	獅王劍+6
197	獅王劍+7
198	獅王劍+8
199	獅王劍+9
200	真錘馬刀+0
201	真錘馬刀+1
202	真錘馬刀+2
203	真錘馬刀+3
204	真錘馬刀+4
205	真錘馬刀+5
206	真錘馬刀+6
207	真錘馬刀+7
208	真錘馬刀+8
209	真錘馬刀+9
210	紫金刀+0
211	紫金刀+1
212	紫金刀+2
213	紫金刀+3
214	紫金刀+4
215	紫金刀+5
216	紫金刀+6
217	紫金刀+7
218	紫金刀+8
219	紫金刀+9
220	月牙劍+0
221	月牙劍+1
222	月牙劍+2
223	月牙劍+3
224	月牙劍+4
225	月牙劍+5
226	月牙劍+6
227	月牙劍+7
228	月牙劍+8
229	月牙劍+9
230	天長劍+0
231	天長劍+1
232	天長劍+2
233	天長劍+3
234	天長劍+4
235	天長劍+5
236	天長劍+6
237	天長劍+7
238	天長劍+8
239	天長劍+9
240	錘馬刀+0
241	錘馬刀+1
242	錘馬刀+2
243	錘馬刀+3
244	錘馬刀+4
245	錘馬刀+5
246	錘馬刀+6
247	錘馬刀+7
248	錘馬刀+8
249	錘馬刀+9
250	死靈刀+0
251	死靈刀+1
252	死靈刀+2
253	死靈刀+3
254	死靈刀+4
255	死靈刀+5
256	死靈刀+6
257	死靈刀+7
258	死靈刀+8
259	死靈刀+9
260	封神劍+0
261	封神劍+1
262	封神劍+2
263	封神劍+3
264	封神劍+4
265	封神劍+5
266	封神劍+6
267	封神劍+7
268	封神劍+8
269	封神劍+9
270	真無雙劍+0
271	真無雙劍+1
272	真無雙劍+2
273	真無雙劍+3
274	真無雙劍+4
275	真無雙劍+5
276	真無雙劍+6
277	真無雙劍+7
278	真無雙劍+8
279	真無雙劍+9
280	真鬼牙劍+0
281	真鬼牙劍+1
282	真鬼牙劍+2
283	真鬼牙劍+3
284	真鬼牙劍+4
285	真鬼牙劍+5
286	真鬼牙劍+6
