

VNUM	LOCALE_NAME
101	野狗
102	野狼
103	野狼頭目
104	藍色的野狼
105	藍色的野狼頭目
106	灰色的野狼
107	灰色的野狼頭目
108	野豬
109	紅色的野豬
110	熊
111	灰熊
112	黑熊
113	棕熊
114	老虎
115	虎王
131	受詛咒的野狼
132	受詛咒的野狼頭目
133	受詛咒的藍狼
134	受詛咒的藍狼頭目
135	受詛咒的灰狼
136	受詛咒的灰狼頭目
137	受詛咒的野豬
138	受詛咒的紅野豬
139	受詛咒的熊
140	受詛咒的灰熊
141	受詛咒的黑熊
142	受詛咒的棕熊
143	受詛咒的老虎
144	受詛咒的虎王
151	藍野狼頭目青木
152	灰野狼頭目五狼
153	紅色的野豬赤血
154	棕熊影馳
155	虎王一俺
171	饑餓的野狗
172	饑餓的野狼
173	饑餓的野狼頭目
174	饑餓的藍狼
175	饑餓的藍狼頭目
176	饑餓的灰狼
177	饑餓的灰狼頭目
178	饑餓的野豬
179	饑餓的紅色野豬
180	饑餓的熊
181	饑餓的灰熊
182	饑餓的黑熊
183	饑餓的棕熊
184	饑餓的老虎
185	饑餓的虎王
191	山犬神
192	豬神
193	熊神
194	虎神
301	百潔兵
302	百潔弓兵
303	百潔將領一領
304	百潔將領二領
331	百潔兵銀朱
332	百潔工兵智瑩
333	百潔將領智研
334	百潔將領隱者
351	謹慎的百潔兵
352	謹慎的百潔弓兵
353	謹慎的百潔將領一領
354	謹慎的百潔將領二領
391	美晶
392	銀晶
393	稀朗
394	甄姬
395	謹慎的美晶
396	謹慎的銀晶
397	謹慎的稀朗
398	謹慎的甄姬
401	黑風兵
402	黑風突擊兵
403	黑風弓兵
404	黑風將領卓刀
405	黑風將領刀手
406	黑風將領丘領
431	黑風兵鬥風
432	黑風突擊兵相頭
433	黑風弓兵關居
434	黑風將領世民
435	黑風將領敏豪
436	黑風將領尹錫
451	卑鄙的黑風兵
452	卑鄙的黑風突擊兵
453	卑鄙的黑風弓兵
454	卑鄙的黑風將領卓刀
455	卑鄙的黑風將領刀手
456	卑鄙的黑風將領丘領
491	猛桓
492	布尤
493	丘霸
494	追痕
501	外寇步兵
502	外寇卒兵
503	外寇弓兵
504	外寇將領
531	外寇步兵飛燕
532	外寇卒兵薑鬥
533	外寇弓兵相天
534	外寇副團長江天
551	陰險的外寇步兵
552	陰險的外寇卒兵
553	陰險的外寇弓兵
554	陰險的外寇將領
591	飛流團隊長
595	外寇弓兵金哲
601	真熊鬼步兵敦莎拉
602	真熊鬼斥候兵謝師禮
603	真熊鬼鬥兵吳老頭
604	真熊鬼騎兵鬥無愧	
631	真熊鬼步兵
632	真熊鬼斥候兵
633	真熊鬼鬥兵
634	真熊鬼騎兵
635	真熊鬼將軍
636	黑熊鬼
637	巨黑熊鬼
651	傻乎乎的真熊鬼步兵
652	傻乎乎的真熊鬼斥候兵
653	傻乎乎的真熊鬼鬥兵
654	傻乎乎的真熊鬼騎兵
655	傻乎乎的真熊鬼將軍
656	傻乎乎的黑熊鬼
657	傻乎乎的巨黑熊鬼
691	熊鬼族長
692	真熊鬼族長
693	熊鬼大族長
701	密教追蹤者
702	密教羅漢兵
703	密教羅漢鬥兵
704	密教羅漢長
705	密教執行兵
706	密教驅迫靈
707	密教召喚靈
731	真密教追蹤者
732	真密教羅漢兵
733	真密教羅漢鬥兵
734	真密教羅漢長
735	真密教執行兵
736	真密教驅迫靈
737	真密教召喚靈
751	卑鄙的密教追蹤者
752	卑鄙的密教羅漢兵
753	卑鄙的密教羅漢鬥兵
754	卑鄙的密教羅漢長
755	卑鄙的密教執行兵
756	卑鄙的密教驅迫靈
757	卑鄙的密教召喚靈
771	殘酷的真密教追蹤者
772	殘酷的真密教羅漢兵
773	殘酷的真密教羅漢鬥兵
774	殘酷的真密教羅漢長
775	殘酷的真密教執行兵
776	殘酷的真密教驅迫靈
777	殘酷的真密教召喚靈
791	密教教主
792	回生的密教教主
793	真密教教主
794	回生的真密教教主
795	密教大教主
796	回生的密教大教主
901	鬼魂
902	感染怪病的犬
903	感染怪病的人
904	感染怪病的兵
905	感染怪病的槍兵
906	感染怪病的弓兵
907	感染怪病的隊長
931	抱怨的鬼魂
932	抱怨的感染怪病的犬
933	抱怨的感染怪病的人
934	抱怨的感染怪病的兵
935	抱怨的感染怪病的槍兵
936	抱怨的感染怪病的弓兵
937	抱怨的感染怪病的隊長
991	感染怪病的蛋
992	感染怪病的病媒
993	大型感染病媒
1001	屍鬼步兵
1002	屍鬼弓兵
1003	屍鬼槍兵
1004	屍鬼咒術師
1031	戰鬼步兵
1032	戰鬼弓兵
1033	戰鬼槍兵
1034	戰鬼咒術師
1035	抱怨的亡靈
1036	混沌的亡靈
1037	戰鬼隊長
1038	治魔隊長
1039	戰靈師
1040	不死鬼
1041	再生怪物
1061	復活的戰鬼步兵
1062	復活的戰鬼弓兵
1063	復活的戰鬼槍兵
1064	復活的戰鬼咒術師
1065	復活的抱怨的亡靈
1066	復活的混沌的亡靈
1067	復活的戰鬼隊長
1068	復活的治魔隊長
1069	復活的戰靈師
1070	復活的不死鬼
1071	復活的再生怪物
1091	屍鬼王
1092	真屍鬼王
1093	死神
1094	名屍鬼王
1095	死神
1101	冰馬
1102	冰角海獅
1103	冰蟲
1104	雪狗
1105	冰人
1106	雪巨人
1107	冰石人
1131	天醫冰馬
1132	天醫冰角海獅
1133	天醫冰蟲
1134	天醫雪狗
1135	天醫冰人
1136	天醫雪巨人
1137	天醫冰石人
1151	冰馬
1152	冰角海獅
1153	冰蟲
1154	雪狗
1155	冰人
1156	雪巨人
1157	冰石人
1171	兇殘的冰馬
1172	兇殘的冰角海獅
1173	兇殘的冰蟲
1174	兇殘的雪狗
1175	兇殘的冰人
1176	兇殘的雪巨人
1177	兇殘的冰石人
1191	雪魔女
1192	雪魔女
1301	青蛙步兵
1302	青蛙隊長
1303	草頭怪獸
1304	黃虎鬼
1305	獸軀大將軍
1306	真黃虎鬼
1307	黃鬥虎鬼
1331	舌短的青蛙步兵
1332	舌短的青蛙隊長
1333	舌短的草頭怪獸
1334	多血質黃虎鬼
1335	舌短的獸軀大將軍
1401	鬥鬼步兵
1402	鬥鬼斥候兵
1403	鬥鬼布將軍
1501	石人
1502	鬥石人
1503	巨鬥石人
1601	鬥鬼傭兵
1602	鬥鬼監察兵
1603	鬥鬼白將軍
1901	九尾狐
1902	真九尾狐
1903	真九尾狐
2001	小蜘蛛
2002	毒蜘蛛
